Player Name,Position,Team Abbreviation,Team Full Name,Matchup,Stat Category,Over/Under Line,Multiplier,Projection
R. Wilson,WR,MICH,Michigan,MICH @ TEX,Receiving Yards,67.5,,42.12
A. Marsh,WR,MICH,Michigan,MICH @ TEX,Receiving Yards,53.5,,42.12
E. Mosley V,WR,MICH,Michigan,MICH @ TEX,Receiving Yards,51.5,,4.58
D. McCulley,WR,MICH,Michigan,MICH @ TEX,Receiving Yards,37.5,,40.75
D. Bentley,TE,NEB,Nebraska,NEB @ UTAH,Receiving Yards,41.5,,27.48
L. Simmons,WR,NEB,Nebraska,NEB @ UTAH,Receiving Yards,38.5,,1.07
D. Key,WR,NEB,Nebraska,NEB @ UTAH,Receiving Yards,31.5,,26.86
N. Hunter,WR,NEB,Nebraska,NEB @ UTAH,Receiving Yards,31.5,,1.63
J. Smith,WR,MIA,Miami,MIA @ OSU,Receiving Yards,81.5,,84.24
C. Tate,WR,MIA,Miami,MIA @ OSU,Receiving Yards,69.5,,6.52
M. Toney,WR,MIA,Miami,MIA @ OSU,Receiving Yards,62.5,,73.52
CJ Daniels,WR,MIA,Miami,MIA @ OSU,Receiving Yards,35.5,,41.43
K. Marion,WR,MIA,Miami,MIA @ OSU,Receiving Yards,30.5,,42.12
M. Klare,TE,MIA,Miami,MIA @ OSU,Receiving Yards,30.5,,30.45
C. Douglas,WR,ORE,Oregon,ORE @ TTU,Receiving Yards,55.5,,56.91
K. Sadiq,TE,ORE,Oregon,ORE @ TTU,Receiving Yards,45.5,,50.19
R. Vegel,WR,ORE,Oregon,ORE @ TTU,Receiving Yards,44.5,,1.71
T. Carter Jr.,TE,ORE,Oregon,ORE @ TTU,Receiving Yards,37.5,,48.05
M. Benson,WR,ORE,Oregon,ORE @ TTU,Receiving Yards,35.5,,49.97
C. Eakin,WR,ORE,Oregon,ORE @ TTU,Receiving Yards,34.5,,36.03
J. Williams,RB,ORE,Oregon,ORE @ TTU,Receiving Yards,18.5,,24.69
C. Dickey,RB,ORE,Oregon,ORE @ TTU,Receiving Yards,15.5,,18.24
E. Sarratt,WR,BAMA,Alabama,BAMA @ IU,Receiving Yards,58.5,,57.66
O. Cooper Jr.,WR,BAMA,Alabama,BAMA @ IU,Receiving Yards,50.5,,60.11
Q. Barnard,WR,BAMA,Alabama,BAMA @ IU,Receiving Yards,50.5,,60.66
C. Becker,WR,BAMA,Alabama,BAMA @ IU,Receiving Yards,43.5,,45.73
L. Brooks,WR,BAMA,Alabama,BAMA @ IU,Receiving Yards,35.5,,39.26
I. Horton,WR,BAMA,Alabama,BAMA @ IU,Receiving Yards,34.5,,42.45
