"Name","Position","Team","Pass Comp","Pass Att","Pass Yds","Pass TDs","Pass INTs","Rush Att","Rush Yds","Rush TDs","Rec","Rec Yds","Rec TDs"
"Julian Sayin","QB","OSU","21.10","28.73","236.42","1.45","0.47","3.71","2.94","0.14","0.00","0.00","0.00"
"Jeremiah Smith","WR","OSU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.86","84.24","0.48"
"Carnell Tate","WR","OSU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.23","74.60","0.36"
"Carson Beck","QB","MIA","18.90","28.25","202.45","0.92","0.64","5.93","4.55","0.11","0.00","0.00","0.00"
"Malachi Toney","WR","MIA","0.58","0.87","5.67","0.03","0.05","3.62","13.78","0.12","7.03","73.52","0.28"
"Bo Jackson","RB","OSU","0.00","0.00","0.00","0.00","0.00","18.55","81.03","0.84","2.23","20.19","0.13"
"Mark Fletcher Jr.","RB","MIA","0.00","0.00","0.00","0.00","0.00","17.46","64.17","0.65","1.22","9.01","0.05"
"Girard Pringle Jr.","RB","MIA","0.00","0.00","0.00","0.00","0.00","3.95","16.83","0.13","0.21","2.16","0.01"
"CJ Daniels","WR","MIA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.49","41.43","0.21"
"CJ Donaldson","RB","OSU","0.00","0.00","0.00","0.00","0.00","6.07","21.42","0.53","0.46","2.44","0.03"
"CharMar Brown","RB","MIA","0.00","0.00","0.00","0.00","0.00","1.65","5.48","0.05","0.12","0.80","0.00"
"Keelan Marion","WR","MIA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.44","42.12","0.16"
"James Peoples","RB","OSU","0.00","0.00","0.00","0.00","0.00","0.34","1.35","0.03","0.00","0.00","0.00"
"Max Klare","WR","OSU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.25","30.45","0.23"
"Elija Lofton","WR","MIA","0.00","0.00","0.00","0.00","0.00","0.33","0.95","0.01","1.60","14.53","0.09"
"Brandon Inniss","WR","OSU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.77","12.59","0.12"
"Joshisa Trader","WR","MIA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.47","6.52","0.03"
"Joshua Moore","WR","MIA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.37","4.58","0.02"
"Alex Bauman","WR","MIA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.53","13.45","0.09"
"Will Kacmarek","WR","OSU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.85","8.62","0.06"
"Isaiah West","RB","OSU","0.00","0.00","0.00","0.00","0.00","5.06","20.07","0.17","0.22","1.38","0.01"
"Bennett Christian","WR","OSU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.21","0.00"
