Team,SP_PLUS
Alabama,30.7
Clemson,28.6
Oklahoma,28
Ohio St.,25
Oregon,24.2
Georgia,24.1
Iowa St.,23.1
Miami,22.7
Wisconsin,22.4
N. Carolina,21.7
Washington,21.2
Florida,21.2
Texas A&M,20.9
Penn St.,20.5
Cincinnati,20
Iowa,19.7
USC,19.6
Arizona St.,18
Utah,17.7
Texas,17.6
UCLA,15.6
Louisiana,15.3
Michigan,15.3
Ole Miss,14.9
Notre Dame,14.8
LSU,14.6
Indiana,14.4
Auburn,14.2
Oklahoma St.,14.1
Nebraska,14
Minnesota,13.6
Maryland,12.3
TCU,12.1
W. Virginia,12
App. St.,11.2
Va. Tech,11
Coastal Caro.,10.4
UCF,10
Boise St.,9.3
Purdue,8.9
Arkansas,8.8
Liberty,8.3
Pittsburgh,8.3
Miss. St.,8.1
NC St.,8.1
Wash. St.,7.8
Louisville,7.6
Ga. Tech,6.3
Tennessee,6.1
Colorado,6
Baylor,5.8
BYU,5.7
Memphis,5.2
California,5.2
Tulsa,5
Virginia,4.9
Kentucky,4.8
Missouri,4.7
Michigan St.,4.6
Oregon St.,4.5
Florida St.,4.4
Boston Coll.,2.9
Kansas St.,2.6
Wake Forest,2.5
SMU,2.5
Troy,2
Tulane,1.9
Stanford,1.6
Houston,1.4
Texas Tech,1.2
Ball St.,-0.4
Army,-0.6
UAB,-0.9
Nevada,-1.1
Northwestern,-1.1
Georgia St.,-1.9
Buffalo,-2
Fresno St.,-2.1
Toledo,-2.1
Wyoming,-2.1
SJSU,-2.3
CMU,-2.4
Illinois,-2.6
SDSU,-3
WMU,-3.1
Marshall,-3.3
UTSA,-4.4
Ga. Southern,-4.7
Ohio,-5.2
S. Carolina,-5.3
ECU,-5.6
Arizona,-5.7
Air Force,-6.3
Rutgers,-6.9
Syracuse,-7
Colorado St.,-7.2
FAU,-8
WKU,-8.1
Arkansas St.,-8.6
Navy,-9.2
So. Miss,-9.3
Duke,-9.3
Rice,-9.4
USF,-9.9
Hawaii,-10.2
N. Texas,-10.5
EMU,-11.2
Vanderbilt,-12.7
Texas St.,-13.1
Miami-OH,-13.2
Kent St.,-13.2
NIU,-13.7
Kansas,-13.9
FIU,-14
MTSU,-14.1
S. Alabama,-14.5
Charlotte,-15.2
La. Tech,-15.4
Temple,-15.9
ODU,-15.9
Utah St.,-17.5
Akron,-18.7
UNLV,-19.5
New Mexico,-20
BGSU,-20.9
UL-Monroe,-21.6
UConn,-22.3
UTEP,-24.5
UMass,-24.9
NMSU,-31.5
