Team,SP_PLUS
Alabama,32.2
Georgia,30.5
Ohio St.,29.7
Oklahoma,22.5
Clemson,21.4
Michigan,21.4
Notre Dame,21
Texas A&M,19.5
Ole Miss,17.9
Tennessee,17.3
Kentucky,16.8
Utah,16.5
Penn St.,16.5
Arkansas,16.3
Michigan St.,16.1
Cincinnati,16.1
Wisconsin,15.6
NC St.,15.4
Oklahoma St.,14.9
Miss. St.,14.7
Auburn,14.4
Texas,14.4
Pittsburgh,14.4
Oregon,14.3
BYU,13.9
Florida,13.8
Iowa,13.3
LSU,13.2
Miami,13.2
Baylor,12.9
Minnesota,12.4
Houston,10.3
Kansas St.,10
Purdue,9.9
Boise St.,9.9
UCLA,9.8
S. Carolina,9.4
N. Carolina,9.4
Louisville,9.3
UCF,8.5
TCU,8.4
Florida St.,8.4
SMU,8.4
Nebraska,8.3
Fresno St.,7.9
USC,7.2
Wake Forest,7
Iowa St.,6.9
Texas Tech,6.3
Missouri,5.9
Arizona St.,5.8
UTSA,5.8
Air Force,4.9
Maryland,4.1
App. St.,4.1
Oregon St.,3.8
Washington,3.6
W. Virginia,3.3
SDSU,3.3
UAB,3.1
Va. Tech,2.6
Toledo,2.5
Memphis,1.8
Syracuse,1.8
Virginia,1.7
WKU,1.3
Marshall,1
Louisiana,0.7
Wash. St.,0.4
Boston Coll.,0.3
Coastal Caro.,-0.3
Army,-0.6
ECU,-0.7
Stanford,-1
Liberty,-1.1
Georgia St.,-1.5
Utah St.,-1.8
California,-2
Illinois,-2.4
Rutgers,-2.7
Tulane,-4
CMU,-4
Tulsa,-4.3
NIU,-4.3
Miami-OH,-4.4
Indiana,-5
Ga. Tech,-5.5
N. Texas,-5.6
Northwestern,-5.6
USF,-5.7
Troy,-7
Colorado,-7.1
ODU,-7.5
JMU,-7.5
SJSU,-7.6
Colorado St.,-7.6
WMU,-7.7
EMU,-8.4
FAU,-8.5
MTSU,-8.6
So. Miss,-9.1
UTEP,-9.5
Kansas,-10.4
Arizona,-10.5
Navy,-10.8
Buffalo,-11.1
Kent St.,-11.1
Vanderbilt,-11.3
S. Alabama,-11.3
Ball St.,-11.4
Wyoming,-11.7
Ohio,-12.4
Charlotte,-12.6
BGSU,-12.7
La. Tech,-12.9
Nevada,-13.4
UNLV,-13.9
Ga. Southern,-14
Duke,-16
Rice,-16.7
Arkansas St.,-17
Texas St.,-18.8
Hawaii,-19.2
Temple,-19.4
New Mexico,-20.8
UL-Monroe,-21.3
Akron,-22
UConn,-24.9
FIU,-26.2
UMass,-26.5
NMSU,-27.4
