Team,SP_PLUS
Ohio St.,29.9
Alabama,28.6
Georgia,27.3
Michigan,20.6
Oklahoma,20.3
Clemson,20.3
Notre Dame,19.6
Texas A&M,18.5
Tennessee,18.5
Wisconsin,18.2
Cincinnati,16.8
Utah,16.6
Penn St.,16.3
Miami,15.6
Miss. St.,15.6
Michigan St.,15.1
Ole Miss,14.9
NC St.,14.9
Pittsburgh,14.8
Kentucky,14.8
Minnesota,14.2
Auburn,14
Florida,13.9
Oregon,13.8
BYU,13.1
Arkansas,12.7
Iowa,12.5
Florida St.,12.4
Nebraska,12.3
Louisville,12.3
Texas,12.3
Oklahoma St.,11
SMU,10.9
N. Carolina,10.7
Purdue,10.6
LSU,10.1
Fresno St.,9.8
Kansas St.,9.8
UCF,9.5
Baylor,9.4
UCLA,9.2
Arizona St.,9.1
Boise St.,8.3
Houston,8.2
TCU,7.8
S. Carolina,7.6
Maryland,7.5
Texas Tech,6.7
Wake Forest,6.4
Oregon St.,6.3
USC,5.9
Missouri,5.8
UAB,5.6
Washington,5
Virginia,4.7
Iowa St.,4.6
Syracuse,4.5
App. St.,4.3
Memphis,4
Toledo,3.9
Va. Tech,3.9
WKU,3.1
Marshall,3
Air Force,2.3
Coastal Caro.,1.9
Liberty,1.6
UTSA,1.5
SDSU,1.5
Wash. St.,1
Louisiana,0.6
Tulane,0.2
Indiana,-0.4
Georgia St.,-0.5
California,-0.5
W. Virginia,-0.7
Boston Coll.,-0.9
Stanford,-1
Rutgers,-1.4
Tulsa,-1.5
Army,-1.9
ECU,-2.2
Illinois,-3.2
SJSU,-3.7
Miami-OH,-4.1
Northwestern,-4.5
Troy,-4.7
Colorado St.,-5.1
N. Texas,-5.2
USF,-5.2
Ga. Tech,-5.3
NIU,-5.5
Utah St.,-6.3
So. Miss,-6.8
CMU,-7.3
WMU,-7.3
Arizona,-7.6
ODU,-7.7
FAU,-7.8
BGSU,-8.1
Colorado,-8.1
Buffalo,-8.9
UTEP,-9.3
Kent St.,-9.3
Wyoming,-9.9
Ohio,-9.9
MTSU,-10.5
S. Alabama,-10.6
Kansas,-10.9
UNLV,-11.2
EMU,-11.6
Charlotte,-11.7
Navy,-12.2
Ga. Southern,-13
Vanderbilt,-13.1
La. Tech,-13.5
Nevada,-14.1
Temple,-14.2
Duke,-14.3
Ball St.,-15.5
Hawaii,-16.9
Arkansas St.,-16.9
Texas St.,-18.5
New Mexico,-19.2
Rice,-19.7
Akron,-20.2
FIU,-22.1
UL-Monroe,-22.7
UConn,-23
UMass,-23.1
NMSU,-24.8
