TEAM,FPI,Link,W-L,PROJ W-L,WIN OUT%,CONF WIN%,REM SOS RK
Clemson,29.2,http://www.espn.com/college-football/team/fpi?id=228&year=2019,0-0,12.3 - 0.7,48.9,88.2,56
Alabama,27.9,http://www.espn.com/college-football/team/fpi?id=333&year=2019,0-0,11.0 - 1.6,14.2,46,20
Georgia,22.3,http://www.espn.com/college-football/team/fpi?id=61&year=2019,0-0,9.9 - 2.7,2.5,27.1,5
LSU,21.7,http://www.espn.com/college-football/team/fpi?id=99&year=2019,0-0,9.5 - 2.8,1.5,11.4,10
Michigan,21.2,http://www.espn.com/college-football/team/fpi?id=130&year=2019,0-0,10.5 - 2.1,8.2,48.2,21
Oklahoma,19.6,http://www.espn.com/college-football/team/fpi?id=201&year=2019,0-0,10.9 - 2.0,10.2,69.7,40
Notre Dame,18.2,http://www.espn.com/college-football/team/fpi?id=87&year=2019,0-0,9.4 - 2.6,2.6,--,51
Florida,17.6,http://www.espn.com/college-football/team/fpi?id=57&year=2019,0-0,8.3 - 4.0,0.2,6.8,3
Auburn,16.8,http://www.espn.com/college-football/team/fpi?id=2&year=2019,0-0,7.7 - 4.4,0,2.1,7
Oregon,16.7,http://www.espn.com/college-football/team/fpi?id=2483&year=2019,0-0,9.7 - 2.9,2.4,35.2,44
Texas A&M,16.1,http://www.espn.com/college-football/team/fpi?id=245&year=2019,0-0,7.4 - 4.7,0,2.2,11
Penn State,15.6,http://www.espn.com/college-football/team/fpi?id=213&year=2019,0-0,8.9 - 3.2,1,10.4,43
Ohio State,14.1,http://www.espn.com/college-football/team/fpi?id=194&year=2019,0-0,8.7 - 3.4,0.7,8.7,26
Mich. St.,14,http://www.espn.com/college-football/team/fpi?id=127&year=2019,0-0,8.8 - 3.3,0.6,8.3,42
Tennessee,14,http://www.espn.com/college-football/team/fpi?id=2633&year=2019,0-0,7.6 - 4.5,0,2,16
Miss St,13.7,http://www.espn.com/college-football/team/fpi?id=344&year=2019,0-0,7.7 - 4.3,0,1.2,19
Washington,13.5,http://www.espn.com/college-football/team/fpi?id=264&year=2019,0-0,9.1 - 3.3,1.3,19.9,29
S Carolina,12.3,http://www.espn.com/college-football/team/fpi?id=2579&year=2019,0-0,6.1 - 5.9,0,0.9,1
