Team,MASSEY
Alabama,81.88
Ohio St,80.79
Clemson,80.27
LSU,76.88
Oklahoma,75.76
Penn St,69.59
Auburn,70.8
Oregon,69.07
Florida,68.5
Georgia,70.91
Utah,68.4
Notre Dame,67.91
Baylor,62.1
Cincinnati,62.71
Texas,65.38
Iowa St,64.71
Appalachian St,61.6
Minnesota,59.81
Wisconsin,65.15
Washington,66.84
Michigan,62.42
UCF,65.39
SMU,58.34
USC,62.92
Iowa,61.95
Memphis,61.56
Texas A&M,60.68
Boise St,60.05
Navy,58.93
Arizona St,58.16
Pittsburgh,55.84
Michigan St,59.62
Virginia,58.1
Air Force,57.69
Utah St,57.98
Oklahoma St,59.27
South Carolina,57.25
Wake Forest,55.38
Washington St,60.14
Missouri,59.42
Kansas St,55.85
TCU,58.91
Stanford,56.2
Indiana,54.38
Duke,56.82
California,55.03
Tulane,53.94
San Diego St,52.17
Fresno St,56.7
Louisiana,53.13
Texas Tech,55.31
Mississippi St,55.47
West Virginia,53.37
North Carolina,54.72
Arizona,51.54
UCLA,53.4
Florida St,52.67
Louisville,48.58
Temple,49.69
Nebraska,50.44
Oregon St,50.74
Virginia Tech,48.33
Kentucky,50.95
Colorado,49.24
Wyoming,49.47
BYU,49.1
Purdue,52.91
Mississippi,51.4
Syracuse,51.97
Boston College,50.48
Northwestern,52.09
Houston,49.73
Louisiana Tech,45.61
NC State,48.93
Miami FL,51.27
Hawaii,45.88
Maryland,50.13
FL Atlantic,47.77
Georgia St,43.5
Kansas,48.26
Tennessee,47.47
Tulsa,45.82
Marshall,44.77
Arkansas St,45.84
Southern Miss,43.99
Ball St,43.38
UAB,43.85
Ga Southern,43.47
WKU,42.41
ULM,43.43
Nevada,41
Army,47.27
Vanderbilt,42.62
Georgia Tech,43.78
Illinois,42.28
W Michigan,43.4
Miami OH,41.36
Ohio,43.52
Troy,44.64
South Florida,40.77
C Michigan,39.97
E Michigan,39.55
Arkansas,43.06
North Texas,40.81
Toledo,38.77
N Illinois,40.8
Liberty,36.79
MTSU,40.48
Buffalo,40.97
Florida Intl,39.93
San Jose St,38.63
UNLV,38.23
Coastal Car,39.8
Kent,36.56
East Carolina,36.86
Texas St,35.42
Colorado St,36.86
UT San Antonio,29.82
New Mexico,31.45
Charlotte,31.3
Rice,32.09
Rutgers,29.32
Bowling Green,27.08
South Alabama,29.53
New Mexico St,29.37
Old Dominion,28.2
Connecticut,23.58
UTEP,20.22
Massachusetts,14.84
Akron,17.1
