Team,SP_PLUS
Ohio State,33.3
Alabama,32.2
Oklahoma,29.9
LSU,28.6
Georgia,26.4
Clemson,26.2
Wisconsin,24.7
Penn State,24.6
Utah,21.7
Auburn,21.6
Oregon,20.1
Florida,20
Washington,18.9
Michigan,18.5
Minnesota,18.5
Baylor,18.4
Iowa State,18.2
Missouri,17.5
Notre Dame,17
Central Florida,16.9
Memphis,16.7
Indiana,14.8
USC,14.7
Iowa,14.5
Texas A&M,14.1
Washington State,13.3
Texas,13.3
Michigan State,13.1
Oklahoma State,12.5
TCU,11.9
Miami-FL,11.8
Cincinnati,9.4
South Carolina,9.3
Arizona State,9
Virginia,8.1
SMU,8
Navy,8
Kansas State,7.9
Mississippi State,7.8
Appalachian State,7.8
Texas Tech,7.6
Tulane,7.4
Boise State,5.7
Temple,5.3
Wake Forest,4.6
Nebraska,4.4
Maryland,4.1
Ole Miss,3.9
Air Force,3.9
Purdue,3.8
Tennessee,3.6
Pittsburgh,3.5
UL-Lafayette,3.2
Utah State,3.1
North Carolina,2.6
Duke,2.6
Florida State,2.6
Arizona,2.4
Virginia Tech,2.1
NC State,2
California,1.7
Boston College,1.1
Louisville,0.9
Fresno State,0.8
UCLA,0.6
Kentucky,0.2
Syracuse,-0.1
Oregon State,-0.5
San Diego State,-0.5
Illinois,-0.5
West Virginia,-1.2
Colorado,-1.6
Houston,-1.6
Northwestern,-1.7
UAB,-1.9
Stanford,-2.1
Army,-2.7
Florida Atlantic,-3.2
BYU,-3.6
Kansas,-3.8
Wyoming,-4
Tulsa,-4
Louisiana Tech,-4
Florida International,-4.7
North Texas,-4.9
Western Kentucky,-4.9
Arkansas State,-4.9
Arkansas,-5.1
Marshall,-5.2
South Florida,-5.7
Vanderbilt,-5.8
Southern Miss,-5.9
Troy,-6
Hawaii,-6.2
Georgia Tech,-6.6
Western Michigan,-6.8
Liberty,-6.9
Ohio,-7.7
Ball State,-8.5
Georgia Southern,-9.7
East Carolina,-11.1
Colorado State,-11.3
Texas State,-11.6
Coastal Carolina,-11.7
Georgia State,-11.8
Buffalo,-12.6
Rutgers,-12.6
Central Michigan,-12.9
Northern Illinois,-13.3
Toledo,-13.3
Charlotte,-13.3
UL-Monroe,-13.4
Nevada,-13.4
San Jose State,-13.8
Middle Tennessee,-14.1
Eastern Michigan,-14.2
Miami-OH,-16.1
Kent State,-16.5
UNLV,-17.6
New Mexico,-18.4
New Mexico State,-20
Old Dominion,-20.7
Rice,-21.9
South Alabama,-22.4
UTSA,-23.2
Connecticut,-23.5
Bowling Green,-26.1
Akron,-27
UTEP,-28
Massachusetts,-30.7
