Team,MASSEY
Ohio St,87.2
LSU,80.84
Clemson,81.37
Alabama,81.88
Oregon,72.75
Penn St,73.86
Utah,73.32
Georgia,75.12
Auburn,73.44
Oklahoma,73.07
Florida,71.84
Baylor,65.62
Michigan,70.44
Minnesota,65.41
Wisconsin,69.13
Notre Dame,66.38
Cincinnati,63.72
Iowa,67.32
Memphis,63.73
Oklahoma St,65.03
Navy,63.5
Texas,64.35
Washington,68.62
Iowa St,67.25
Kansas St,64.05
SMU,60.24
Texas A&M,63.23
USC,62.03
UCF,66.18
Appalachian St,61.73
Boise St,60.23
Air Force,60.35
Indiana,58.95
Louisiana,59.39
TCU,61.64
Virginia,57.61
Mississippi St,59.68
California,57.32
Tulane,57.59
Pittsburgh,54.91
Miami FL,58.41
Tennessee,56.47
Arizona St,56.82
Washington St,60.2
Michigan St,58.15
Wake Forest,54.56
Virginia Tech,54.35
Texas Tech,58.24
South Carolina,56.32
UCLA,55.7
Stanford,55.46
BYU,54
North Carolina,56.54
Oregon St,54.95
Illinois,53.03
Missouri,56.43
Temple,51.9
Florida St,53.79
FL Atlantic,53.62
Louisville,50.51
Utah St,52.19
Duke,54.87
San Diego St,51.07
Kentucky,53.84
Wyoming,53.21
Tulsa,51.88
Mississippi,54.67
Louisiana Tech,48.81
Purdue,51.98
Nebraska,51.71
West Virginia,51.5
Arkansas St,50.17
Colorado,50
Boston College,52.58
Southern Miss,49.15
Arizona,49.88
Ga Southern,47.51
Hawaii,47.2
Marshall,46.77
Georgia St,47.05
Miami OH,46.14
Fresno St,51.65
Houston,50.98
W Michigan,47.3
Kansas,48.13
Buffalo,48.17
Nevada,42.79
Maryland,48.53
South Florida,45.88
ULM,46.27
NC State,45.63
WKU,45.56
C Michigan,43.85
Northwestern,47.85
Georgia Tech,45.4
Toledo,40.54
Syracuse,45.89
Army,48.1
Ball St,43.54
Ohio,45.05
San Jose St,43.25
Troy,45.78
Colorado St,42.12
Vanderbilt,40.62
E Michigan,39.91
UAB,40.1
Coastal Car,40.46
MTSU,40.76
Liberty,38.7
N Illinois,39.92
East Carolina,40.57
Arkansas,40.49
North Texas,39.46
Charlotte,35.26
Florida Intl,36.81
Texas St,35.05
Kent,37.4
UNLV,36.49
Rutgers,32.89
UT San Antonio,28.88
New Mexico,31.71
Bowling Green,29.46
South Alabama,31.04
Rice,30.97
Connecticut,27.17
New Mexico St,27.19
Old Dominion,28.02
UTEP,19.61
Massachusetts,9.95
Akron,12
