Team,SP_PLUS
Ohio State,36.9
Alabama,31.9
LSU,31.1
Georgia,29.5
Oklahoma,27.5
Clemson,27.5
Penn State,26
Utah,22.7
Auburn,22.4
Florida,22.2
Wisconsin,21.3
Washington,20.9
Minnesota,20.5
Memphis,20.1
Michigan,19.9
Oregon,18.7
Central Florida,18.5
Baylor,17.3
Indiana,17.3
Texas A&M,16.9
Iowa State,16.4
Notre Dame,15.4
Iowa,15.4
Navy,13.7
Washington State,13.4
USC,13.1
Miami-FL,12.8
Cincinnati,12.1
Oklahoma State,12.1
Missouri,12.1
Texas,12.1
TCU,11.7
Tulane,11.4
UL-Lafayette,10.7
Michigan State,9.8
Air Force,9.3
Kansas State,9.3
South Carolina,8.8
Appalachian State,8.5
Tennessee,7.2
Arizona State,6.8
Virginia,6.8
Boise State,6.7
SMU,6.3
Temple,5.4
Mississippi State,5.3
Texas Tech,4.3
Wake Forest,4.1
North Carolina,3.8
Pittsburgh,3.6
Florida State,3.6
Virginia Tech,3.3
Illinois,3.2
Florida Atlantic,2.6
Ole Miss,2.6
Kentucky,1.9
Nebraska,1.6
UCLA,1.6
Purdue,0.4
Louisville,0.4
Duke,-0.2
Houston,-0.2
Louisiana Tech,-0.6
Army,-1
Oregon State,-1.1
San Diego State,-1.1
Boston College,-1.3
BYU,-1.5
Fresno State,-1.5
Wyoming,-2
NC State,-2.1
Utah State,-2.4
California,-2.4
Arizona,-2.7
Stanford,-2.8
Ohio,-3
Arkansas State,-3.2
Southern Miss,-3.2
Troy,-3.2
Maryland,-3.4
Western Kentucky,-3.5
Colorado,-3.9
Marshall,-4
Western Michigan,-4.2
Syracuse,-4.2
Liberty,-4.7
North Texas,-5
Hawaii,-5.1
Tulsa,-5.1
Northwestern,-5.9
South Florida,-6.1
UAB,-6.8
Colorado State,-7.3
Kansas,-7.3
Georgia Southern,-7.3
West Virginia,-7.4
Central Michigan,-7.6
Ball State,-7.7
Georgia Tech,-8.3
Florida International,-8.4
Buffalo,-9.3
Arkansas,-9.6
Georgia State,-10
Charlotte,-10.5
Vanderbilt,-10.7
East Carolina,-10.8
Rutgers,-11.7
San Jose State,-11.8
Miami-OH,-12.4
Middle Tennessee,-12.7
UL-Monroe,-12.8
Toledo,-12.9
Coastal Carolina,-13.1
Northern Illinois,-13.5
Nevada,-13.6
Texas State,-13.7
Kent State,-13.9
Eastern Michigan,-15.1
New Mexico,-18
UNLV,-19.1
Old Dominion,-23.3
New Mexico State,-23.3
Rice,-24.1
Connecticut,-24.2
Bowling Green,-24.7
South Alabama,-24.9
UTSA,-25.3
UTEP,-26.4
Akron,-29.6
Massachusetts,-32.9
