Team,MASSEY
Alabama,83.35
Clemson,82.38
Ohio St,78.03
Georgia,76.28
Oklahoma,75.3
Auburn,72.8
LSU,73.88
Penn St,69.24
Notre Dame,69.65
Washington,70.86
Florida,67.23
Wisconsin,66.85
Texas,68.87
Iowa,66.47
Oregon,66.68
UCF,68.32
Oklahoma St,65.24
Utah,65.17
Michigan,64.02
Michigan St,63.62
Missouri,64.94
Boise St,60.79
SMU,58.23
TCU,63.51
Duke,61.6
Minnesota,58.22
Mississippi St,63.1
Wake Forest,58.26
USC,61.33
Cincinnati,60.31
Texas A&M,62.7
Kansas St,60.1
California,58.45
Arizona St,59.74
West Virginia,59.93
Memphis,59.26
Appalachian St,59.03
Utah St,59.55
Virginia,57.34
Washington St,60.48
Pittsburgh,56.05
Stanford,58.17
Baylor,55.22
Syracuse,58.61
Iowa St,59.23
Tulane,55.33
Fresno St,59.23
Colorado,54.26
Army,56.56
Arizona,54.76
Maryland,56.04
South Carolina,55.89
Air Force,53.3
Louisiana,52.64
Nebraska,54.59
North Carolina,54.04
Kentucky,56.34
Northwestern,56.81
Texas Tech,54.76
Florida St,52.57
San Diego St,51.21
Hawaii,48.8
Wyoming,50.96
Houston,54.02
Arkansas St,51.46
Miami FL,54.09
UCLA,53.11
Temple,51.41
Indiana,52.2
BYU,51.18
Navy,51.33
Purdue,54.49
Mississippi,52.05
NC State,51.99
Boston College,50.62
Tulsa,46.64
FL Atlantic,47.36
Toledo,46.33
Vanderbilt,48.49
Southern Miss,45.57
Kansas,48.11
Nevada,45.2
Miami OH,46.01
Virginia Tech,47.07
Louisiana Tech,43.89
Marshall,45.86
E Michigan,43.04
Troy,48.83
Ga Southern,45.7
Oregon St,47.02
Louisville,44.4
W Michigan,43.01
ULM,44.08
Ohio,47
North Texas,44.67
Coastal Car,41.54
Buffalo,43.14
Arkansas,44.03
Georgia Tech,44.41
Tennessee,44.92
N Illinois,41.98
Illinois,42.97
UAB,42.08
MTSU,41.46
Liberty,38.08
San Jose St,38.2
South Florida,40.18
Texas St,36.57
Rutgers,38.69
Georgia St,36.47
New Mexico,36.47
WKU,36.19
Colorado St,39.03
East Carolina,35.69
Florida Intl,38.83
Kent,33.82
UNLV,36.93
Charlotte,35.45
C Michigan,34.63
Ball St,35.55
Rice,33.39
UT San Antonio,31.2
New Mexico St,32.93
South Alabama,32.66
Old Dominion,30.69
Connecticut,25.26
Bowling Green,25.1
UTEP,22.67
Massachusetts,22.22
Akron,23.25
