Team,SP_PLUS
Alabama,31.8
Ohio State,31.5
Oklahoma,28.3
Georgia,26.5
LSU,25.7
Clemson,24.5
Penn State,24.5
Wisconsin,23.3
Auburn,21.7
Florida,21.5
Washington,21
Oregon,19.2
Michigan,18.5
Central Florida,17.8
Missouri,17.8
Texas,17.6
Utah,17.5
Oklahoma State,17.4
TCU,17.3
Iowa,17
Michigan State,17
Notre Dame,16.7
Texas A&M,15.6
Iowa State,15.5
Memphis,15.4
Baylor,14.9
Mississippi State,12.6
USC,11.9
Indiana,11.9
Washington State,11.3
Miami-FL,11.3
Arizona State,10.6
Minnesota,10.4
South Carolina,9.6
Kansas State,9
Arizona,8.5
SMU,8.3
Cincinnati,8.1
Nebraska,7.9
Texas Tech,7.9
Utah State,6.7
Virginia,6.4
Appalachian State,5.9
Duke,5.9
Temple,5.6
Maryland,5.4
Florida State,5.2
Colorado,5
California,4.9
Boise State,4.7
Tulane,4.5
Air Force,4.3
Wake Forest,4.2
Tennessee,3.3
NC State,2.8
Illinois,2.5
Army,2
Ole Miss,2
Pittsburgh,1.5
North Carolina,1.3
Kentucky,1.3
UL-Lafayette,1.1
Purdue,1.1
West Virginia,1
Syracuse,0.9
UCLA,0.9
Navy,0.5
Houston,0.4
Northwestern,0.3
Louisville,0.3
Oregon State,0
Virginia Tech,-0.3
Stanford,-0.8
Boston College,-0.9
Fresno State,-1.1
Tulsa,-1.2
San Diego State,-1.4
BYU,-1.5
North Texas,-1.8
Florida Atlantic,-1.9
Arkansas State,-2
Arkansas,-2.5
Hawaii,-2.9
Kansas,-3.4
Troy,-3.8
Wyoming,-4.3
Vanderbilt,-4.8
Western Michigan,-5
Southern Miss,-5.2
Marshall,-5.6
Liberty,-6.8
Georgia Tech,-7.3
UAB,-7.8
South Florida,-8.1
Toledo,-8.4
Louisiana Tech,-8.7
Rutgers,-8.9
Ohio,-9.9
Western Kentucky,-10.6
Coastal Carolina,-10.6
East Carolina,-10.9
Colorado State,-10.9
Texas State,-11.3
Ball State,-11.3
Florida International,-11.5
Eastern Michigan,-11.9
UL-Monroe,-12
Georgia Southern,-12.1
Charlotte,-12.5
Buffalo,-12.7
Nevada,-13.2
San Jose State,-13.5
Miami-OH,-14.6
Northern Illinois,-15.2
Middle Tennessee,-15.3
Kent State,-16
UNLV,-16.4
Georgia State,-17.4
Old Dominion,-17.7
Central Michigan,-19.1
New Mexico,-20.8
South Alabama,-22.3
Connecticut,-22.3
Rice,-22.4
New Mexico State,-22.8
UTSA,-24.6
Akron,-25.7
Bowling Green,-26.8
Massachusetts,-27.5
UTEP,-28.9
