Team,FPI,,,,,,,,,,,,,,
Alabama,30.9,,,,,,,,,,,,,,
Clemson,28.9,,,,,,,,,,,,,,
Ohio State,27,,,,,,,,,,,,,,
Georgia,25.7,,,,,,,,,,,,,,
LSU,24.4,,,,,,,,,,,,,,
Oklahoma,22.1,,,,,,,,,,,,,,
Notre Dame,21.2,,,,,,,,,,,,,,
Wisconsin,21,,,,,,,,,,,,,,
Auburn,20.4,,,,,,,,,,,,,,
Oregon,19.9,,,,,,,,,,,,,,
Penn State,18.7,,,,,,,,,,,,,,
Florida,18.7,,,,,,,,,,,,,,
Texas A&M,16.3,,,,,,,,,,,,,,
Washington,15.7,,,,,,,,,,,,,,
Mich. St.,14.8,,,,,,,,,,,,,,
UCF,14,,,,,,,,,,,,,,
Texas,12.9,,,,,,,,,,,,,,
Miss St,12.6,,,,,,,,,,,,,,
Michigan,12.5,,,,,,,,,,,,,,
Missouri,12.2,,,,,,,,,,,,,,
Iowa,11.6,,,,,,,,,,,,,,
USC,11.3,,,,,,,,,,,,,,
Utah,11,,,,,,,,,,,,,,
Iowa State,10.8,,,,,,,,,,,,,,
Oklahoma State,10.5,,,,,,,,,,,,,,
Washington St,9.4,,,,,,,,,,,,,,
Kansas State,9.3,,,,,,,,,,,,,,
Miami,8.8,,,,,,,,,,,,,,
Maryland,8.8,,,,,,,,,,,,,,
S Carolina,8.4,,,,,,,,,,,,,,
Boise State,7.8,,,,,,,,,,,,,,
Kentucky,7.6,,,,,,,,,,,,,,
Baylor,7.1,,,,,,,,,,,,,,
Virginia,6.5,,,,,,,,,,,,,,
Florida State,6,,,,,,,,,,,,,,
Nebraska,5.9,,,,,,,,,,,,,,
TCU,5.4,,,,,,,,,,,,,,
Cal,5.3,,,,,,,,,,,,,,
Minnesota,5.1,,,,,,,,,,,,,,
Arizona State,4.9,,,,,,,,,,,,,,
Wake Forest,4.7,,,,,,,,,,,,,,
Pittsburgh,4.1,,,,,,,,,,,,,,
Utah State,4.1,,,,,,,,,,,,,,
SMU,4.1,,,,,,,,,,,,,,
Memphis,3.9,,,,,,,,,,,,,,
Tennessee,3.5,,,,,,,,,,,,,,
Texas Tech,3.4,,,,,,,,,,,,,,
Arizona,3.4,,,,,,,,,,,,,,
Duke,3.3,,,,,,,,,,,,,,
Stanford,3,,,,,,,,,,,,,,
North Carolina,2.9,,,,,,,,,,,,,,
Cincinnati,2.9,,,,,,,,,,,,,,
Indiana,2.9,,,,,,,,,,,,,,
UCLA,2.8,,,,,,,,,,,,,,
Colorado,2.4,,,,,,,,,,,,,,
Tulane,2.3,,,,,,,,,,,,,,
Air Force,2.2,,,,,,,,,,,,,,
BYU,2.2,,,,,,,,,,,,,,
Louisiana,1.7,,,,,,,,,,,,,,
Louisville,1.5,,,,,,,,,,,,,,
NC State,1.3,,,,,,,,,,,,,,
Ole Miss,1,,,,,,,,,,,,,,
Virginia Tech,0.8,,,,,,,,,,,,,,
Appalachian St,0.5,,,,,,,,,,,,,,
W Michigan,0.2,,,,,,,,,,,,,,
West Virginia,0,,,,,,,,,,,,,,
Syracuse,0,,,,,,,,,,,,,,
Toledo,0,,,,,,,,,,,,,,
Northwestern,-0.7,,,,,,,,,,,,,,
Fresno State,-1,,,,,,,,,,,,,,
San Diego State,-1.4,,,,,,,,,,,,,,
Vanderbilt,-1.5,,,,,,,,,,,,,,
Marshall,-1.5,,,,,,,,,,,,,,
Purdue,-1.6,,,,,,,,,,,,,,
Houston,-1.9,,,,,,,,,,,,,,
North Texas,-2.6,,,,,,,,,,,,,,
Boston College,-2.7,,,,,,,,,,,,,,
Oregon St,-2.7,,,,,,,,,,,,,,
Army,-2.9,,,,,,,,,,,,,,
Southern Miss,-3.1,,,,,,,,,,,,,,
Temple,-4.2,,,,,,,,,,,,,,
Navy,-4.5,,,,,,,,,,,,,,
Hawai'i,-4.5,,,,,,,,,,,,,,
Wyoming,-4.8,,,,,,,,,,,,,,
Illinois,-4.9,,,,,,,,,,,,,,
Tulsa,-5,,,,,,,,,,,,,,
FAU,-5.2,,,,,,,,,,,,,,
Arkansas,-5.3,,,,,,,,,,,,,,
Arkansas State,-5.4,,,,,,,,,,,,,,
Troy,-5.6,,,,,,,,,,,,,,
USF,-6.4,,,,,,,,,,,,,,
Ohio,-6.7,,,,,,,,,,,,,,
Ga Southern,-6.9,,,,,,,,,,,,,,
C. Carolina,-8.1,,,,,,,,,,,,,,
LA Tech,-8.1,,,,,,,,,,,,,,
Georgia Tech,-8.4,,,,,,,,,,,,,,
Kansas,-8.4,,,,,,,,,,,,,,
E Michigan,-8.9,,,,,,,,,,,,,,
N Illinois,-9.3,,,,,,,,,,,,,,
Kent State,-9.8,,,,,,,,,,,,,,
Rutgers,-10.3,,,,,,,,,,,,,,
UAB,-10.3,,,,,,,,,,,,,,
Mid Tennessee,-10.3,,,,,,,,,,,,,,
Florida Intl,-10.4,,,,,,,,,,,,,,
W Kentucky,-10.5,,,,,,,,,,,,,,
Ball State,-10.7,,,,,,,,,,,,,,
Colorado State,-10.9,,,,,,,,,,,,,,
UL Monroe,-11.5,,,,,,,,,,,,,,
Liberty,-11.7,,,,,,,,,,,,,,
Buffalo,-11.8,,,,,,,,,,,,,,
Charlotte,-11.9,,,,,,,,,,,,,,
San Jose State,-12.1,,,,,,,,,,,,,,
Georgia State,-12.2,,,,,,,,,,,,,,
Nevada,-13,,,,,,,,,,,,,,
Cent Michigan,-13,,,,,,,,,,,,,,
UNLV,-13.5,,,,,,,,,,,,,,
Miami (OH),-14.2,,,,,,,,,,,,,,
East Carolina,-14.6,,,,,,,,,,,,,,
Texas State,-14.9,,,,,,,,,,,,,,
New Mexico,-15.2,,,,,,,,,,,,,,
Rice,-17,,,,,,,,,,,,,,
Old Dominion,-19.4,,,,,,,,,,,,,,
New Mexico St,-20.6,,,,,,,,,,,,,,
UTSA,-21.7,,,,,,,,,,,,,,
South Alabama,-22.9,,,,,,,,,,,,,,
Bowling Green,-23.7,,,,,,,,,,,,,,
UConn,-24.8,,,,,,,,,,,,,,
Akron,-25,,,,,,,,,,,,,,
UTEP,-25.9,,,,,,,,,,,,,,
UMass,-30.8,,,,,,,,,,,,,,
