Team,MASSEY
Clemson,91.9
Alabama,86.5
Georgia,78.46
LSU,76.15
Ohio St,76.99
Auburn,73.33
Oklahoma,75.76
Florida,69.03
Notre Dame,71.8
Texas,70.59
Penn St,69.05
Wisconsin,68.52
Iowa,68.13
Washington,71.19
UCF,70.07
Oregon,67.34
Mississippi St,68.03
Texas A&M,68.85
Kansas St,63.91
California,60.89
Michigan,65.42
Boise St,62.64
Oklahoma St,65.18
USC,63.28
Missouri,65.95
Michigan St,65.03
Utah,64.66
West Virginia,62.44
Minnesota,60
Wake Forest,60.25
Virginia,59.91
TCU,63.39
Duke,61.48
Washington St,64.06
Utah St,62.23
Memphis,59.74
Iowa St,62.16
Appalachian St,59.95
Pittsburgh,60.22
SMU,56.45
Syracuse,62.02
Kentucky,61.6
Arizona St,59.24
Stanford,61.12
Maryland,59.81
Cincinnati,58.1
Fresno St,61.6
Nebraska,57.46
Colorado,54.89
Northwestern,59.17
NC State,57.53
Army,57.27
Baylor,56.21
Tulane,55.37
Texas Tech,57.3
BYU,54.08
Purdue,57.82
Air Force,53.98
Arizona,55.67
UCLA,54.19
San Diego St,52.19
Miami FL,55.95
Louisiana,52.25
Boston College,53.94
North Carolina,52.41
Indiana,53.27
Florida St,52.94
South Carolina,55.47
Mississippi,53.51
Wyoming,50.5
Nevada,49.43
Temple,51.37
Navy,51.29
Arkansas St,51.51
Southern Miss,48.88
Kansas,51.89
Marshall,50.14
Virginia Tech,51.13
Houston,52.72
Troy,52.32
Ga Southern,50.46
Vanderbilt,51.52
Hawaii,45.92
Tulsa,46.5
UAB,47.64
E Michigan,45.43
FL Atlantic,47.59
Louisiana Tech,46.53
Georgia Tech,50.52
Toledo,46.82
North Texas,48.33
Louisville,46.26
Buffalo,46.13
Ohio,49.23
Oregon St,46.46
Coastal Car,43.1
Miami OH,45.2
MTSU,45.25
ULM,45.29
N Illinois,43.93
W Michigan,43.46
Tennessee,47.87
Illinois,45.64
South Florida,43.88
Arkansas,43.55
Rutgers,42.17
New Mexico,38.42
San Jose St,38.87
Liberty,39.03
UNLV,40.24
Charlotte,38.98
Georgia St,37.6
C Michigan,37.84
Kent,35.34
Florida Intl,40.49
East Carolina,37.15
Colorado St,38.27
Texas St,35.09
WKU,35.91
Ball St,36.74
South Alabama,34.79
UT San Antonio,33.4
Old Dominion,33.6
Rice,33.72
New Mexico St,33.53
Bowling Green,28.33
Akron,28.54
Connecticut,25.82
UTEP,24.66
Massachusetts,24.33
