Team,SP_PLUS
Alabama,33.6
Ohio State,31.1
Clemson,29.3
Georgia,27.5
Wisconsin,27.4
Oklahoma,26.9
LSU,26.5
Florida,22.5
Washington,21.4
Auburn,21.4
Penn State,20.7
Notre Dame,20.2
Oregon,18.9
Mississippi State,18
Missouri,17
Central Florida,17
Memphis,16.3
Texas A&M,16.2
Texas,15.6
Michigan State,15.6
Iowa State,15.5
Utah,15.2
Washington State,14.9
Oklahoma State,14.3
Baylor,14.1
Michigan,13.9
Kansas State,13.8
TCU,13.5
Iowa,13.5
Miami-FL,12.1
USC,11.9
Indiana,10.8
Texas Tech,10.8
Maryland,9.6
Nebraska,9.5
Arizona,9
Virginia,8.9
Utah State,8.9
Arizona State,8.8
Wake Forest,7.1
Boise State,6.8
Appalachian State,6.6
SMU,6
California,5.9
South Carolina,5.8
Temple,5.7
Navy,5.6
NC State,5.4
Air Force,5.2
North Texas,4.7
Minnesota,4.6
Kentucky,4.3
Virginia Tech,4.3
Ole Miss,4
Colorado,3.7
UL-Lafayette,3.2
Florida State,3.2
Tulane,3
Cincinnati,3
Duke,2.6
Marshall,2.2
Pittsburgh,1.5
Tennessee,1.3
BYU,0.8
North Carolina,0.4
Troy,0.1
Fresno State,-0.3
Illinois,-0.3
Louisville,-0.6
Army,-0.6
San Diego State,-0.8
Purdue,-1.1
Boston College,-1.4
West Virginia,-1.6
Syracuse,-2
Florida Atlantic,-2
Kansas,-2.4
UCLA,-2.5
Arkansas State,-2.6
Oregon State,-2.9
Tulsa,-3
Arkansas,-3.1
Western Michigan,-3.2
Houston,-3.3
Southern Miss,-3.6
UAB,-3.8
Toledo,-4.4
Stanford,-4.6
Hawaii,-5.6
South Florida,-5.8
Coastal Carolina,-6.1
Louisiana Tech,-6.2
Northwestern,-6.3
Liberty,-6.7
Georgia Tech,-7.1
Wyoming,-7.3
Ohio,-7.6
Charlotte,-7.7
Ball State,-9.1
Eastern Michigan,-9.3
Colorado State,-9.6
Florida International,-9.8
Nevada,-10
Georgia Southern,-10.7
Rutgers,-10.9
Western Kentucky,-11.2
San Jose State,-11.3
Vanderbilt,-11.6
Middle Tennessee,-12.1
Buffalo,-12.6
East Carolina,-13.1
Northern Illinois,-13.5
Miami-OH,-14.2
UL-Monroe,-14.3
UNLV,-14.5
Old Dominion,-14.8
Kent State,-14.8
Texas State,-14.9
Central Michigan,-17
Georgia State,-18.2
South Alabama,-21
Rice,-21.8
New Mexico,-22.8
Connecticut,-23.6
UTSA,-23.8
New Mexico State,-23.9
Akron,-25.2
Bowling Green,-26.4
UTEP,-27.1
Massachusetts,-31.3
