Team,FPI
Ohio State,33.4
Clemson,31.4
Alabama,28.6
LSU,27.6
Georgia,25.3
Auburn,21.9
Florida,21.8
Oklahoma,21.4
Wisconsin,21.3
Penn State,21.1
Utah,21
Oregon,20.5
Michigan,20.5
Notre Dame,20
Baylor,14.6
Iowa,13.7
Texas A&M,13.6
Washington,13.1
Minnesota,12.9
Iowa State,12
UCF,11.9
USC,11.9
Texas,11
Memphis,10.4
Boise State,9.2
Washington St,8.8
Oklahoma State,8.8
Kentucky,8.6
Kansas State,8.3
Appalachian St,8.3
Tennessee,8.2
Miss St,8.1
Missouri,7.9
Mich. St.,7.6
TCU,7.5
Indiana,7.3
Virginia,7.3
Miami,6.8
S Carolina,6.8
North Carolina,6.8
Cincinnati,6.6
Air Force,6.4
Louisiana,6.3
Arizona State,6.1
SMU,5.8
Navy,5.5
Ole Miss,5.2
Virginia Tech,4.9
Florida State,4.7
Nebraska,4.4
Cal,3.1
Wake Forest,3
BYU,2.3
Texas Tech,2.1
Tulane,2
Louisville,1.5
FAU,1.4
UCLA,1.1
Oregon St,0.8
Stanford,0.7
Pittsburgh,0.7
Boston College,-0.1
Purdue,-0.2
W Michigan,-0.3
Illinois,-0.3
Duke,-0.4
West Virginia,-1.4
Colorado,-1.4
Wyoming,-1.4
San Diego State,-1.5
Syracuse,-1.5
Arizona,-2.2
Hawai'i,-2.7
Utah State,-2.8
Northwestern,-2.8
Temple,-2.9
Ohio,-2.9
Houston,-3.1
W Kentucky,-3.2
Fresno State,-3.6
Army,-3.7
Tulsa,-3.8
Buffalo,-4.2
Southern Miss,-4.4
Ga Southern,-4.4
Marshall,-4.5
LA Tech,-4.7
Cent Michigan,-5.3
Ball State,-5.4
Maryland,-5.6
Arkansas State,-6.2
NC State,-7.1
Arkansas,-7.2
Vanderbilt,-7.7
UAB,-7.9
USF,-8
E Michigan,-8.8
Troy,-8.9
Mid Tennessee,-8.9
Liberty,-9
Florida Intl,-9
Kent State,-9.2
San Jose State,-9.3
Kansas,-9.5
Miami (OH),-9.5
N Illinois,-9.6
Colorado State,-9.8
Toledo,-10.2
North Texas,-10.2
Georgia State,-10.5
UL Monroe,-10.6
Georgia Tech,-10.6
Charlotte,-11
C. Carolina,-11.9
East Carolina,-13.5
UNLV,-14.2
Nevada,-14.4
Rutgers,-15.2
Rice,-15.6
Texas State,-17.1
New Mexico,-17.5
South Alabama,-19
UTSA,-19.5
Old Dominion,-22.1
New Mexico St,-22.7
UConn,-25.7
Bowling Green,-25.9
UTEP,-27.1
Akron,-28.5
UMass,-35.9
