Team,MASSEY
Ohio St,92.2
Clemson,85.59
LSU,85.18
Alabama,84.17
Georgia,79.78
Utah,77.9
Auburn,76.6
Florida,76.24
Oklahoma,75.65
Wisconsin,75.23
Michigan,74.67
Penn St,74.32
Notre Dame,73.27
Oregon,73.05
Baylor,71.18
Iowa,68.52
Washington,68.51
Memphis,68.04
Texas A&M,67.55
Iowa St,67.12
Texas,66.87
Appalachian St,66.76
USC,66.55
UCF,66.26
Oklahoma St,66.18
Minnesota,66.18
Kansas St,65.85
Navy,64.63
Air Force,63.62
Boise St,63.43
TCU,63.32
SMU,62.27
Cincinnati,61.07
Washington St,60.94
Mississippi St,60.89
Indiana,60.58
Arizona St,60.47
Louisiana,60.24
Tennessee,60.14
Kentucky,59.84
Virginia,59.57
Texas Tech,58.92
Michigan St,58.71
California,58.58
Mississippi,58.14
Virginia Tech,58.02
North Carolina,58.01
South Carolina,57.65
Oregon St,57.37
Nebraska,57.33
Missouri,57.25
West Virginia,57.06
FL Atlantic,57.04
Tulane,56.41
Miami FL,55.67
Wake Forest,55.32
Florida St,55.02
Boston College,54.86
Temple,54.78
UCLA,54.57
San Diego St,54.53
Purdue,54.1
Colorado,53.88
Stanford,53.8
Louisville,53.71
Wyoming,53.64
BYU,53.61
Hawaii,53.29
Illinois,53.22
Pittsburgh,52.91
Duke,52.82
Ga Southern,52.62
Northwestern,52.6
Tulsa,52.29
Houston,51.85
Utah St,51.69
WKU,50.67
Syracuse,50.23
Buffalo,50.13
Arizona,50.06
Kansas,50.03
Fresno St,50.02
Arkansas St,49.01
Maryland,48.69
Marshall,48.06
C Michigan,47.78
ULM,47.63
W Michigan,47.43
Ohio,47.35
Southern Miss,47.29
Army,46.78
Troy,46.53
Louisiana Tech,46.06
South Florida,45.74
Georgia St,45.44
Ball St,45.39
San Jose St,45.28
Nevada,44.87
UAB,44.49
Colorado St,43.92
Arkansas,43.58
NC State,43.33
Coastal Car,43.15
Miami OH,43.14
Kent,42.93
MTSU,42.89
Georgia Tech,42.65
E Michigan,42.63
Florida Intl,42.27
Charlotte,41.82
Vanderbilt,41.58
Liberty,40.37
N Illinois,40.1
UNLV,39.66
East Carolina,38.83
North Texas,38.77
Toledo,38.66
South Alabama,36.85
Rice,36.19
Texas St,35.91
Rutgers,34.25
New Mexico,33.45
UT San Antonio,30.59
New Mexico St,28.58
Old Dominion,28.47
Connecticut,26.86
Bowling Green,26.33
UTEP,20.14
Akron,16.97
Massachusetts,11.71
