Team,SP_PLUS
Ohio State,35.8
Alabama,32.3
LSU,31.1
Clemson,28.8
Georgia,28.4
Oklahoma,25.7
Utah,24.2
Florida,23.7
Penn State,23.4
Wisconsin,21.7
Auburn,21.6
Michigan,21.3
Memphis,20.6
Baylor,19.3
Central Florida,18.4
Washington,18.1
Minnesota,17.3
Notre Dame,17.3
Oregon,17.2
Iowa,15.8
Texas A&M,15.1
USC,14.2
Iowa State,13.5
Indiana,13.4
Washington State,11.4
Miami-FL,11.1
Air Force,11
Appalachian State,10.7
Texas,10.6
Oklahoma State,10
Tennessee,9.6
UL-Lafayette,9.5
Boise State,8.8
Navy,8.6
Missouri,8.2
Kentucky,7.9
Virginia,7.8
TCU,7.7
Cincinnati,7.7
North Carolina,7.6
Virginia Tech,7.2
Arizona State,7
Michigan State,6.8
Temple,6.7
Tulane,6.5
Kansas State,5.9
SMU,5.9
South Carolina,5.5
Mississippi State,4.9
Florida Atlantic,4.4
Texas Tech,3.5
Nebraska,2.9
Ole Miss,2.6
Ohio,2.5
Wake Forest,2.3
Pittsburgh,2.3
Florida State,2.2
BYU,1.4
Illinois,0.9
Purdue,0.4
San Diego State,-0.3
Louisville,-0.4
Western Kentucky,-0.5
Army,-0.8
UAB,-1.2
Oregon State,-1.2
Duke,-1.5
Louisiana Tech,-1.7
Hawaii,-2
Wyoming,-2.1
Syracuse,-2.4
Marshall,-2.6
Colorado,-2.9
Arkansas State,-2.9
Houston,-3.2
Stanford,-3.2
California,-3.3
Tulsa,-3.4
UCLA,-3.5
Utah State,-3.6
Fresno State,-3.8
Boston College,-4.1
Central Michigan,-4.1
Liberty,-4.3
Northwestern,-4.3
Buffalo,-4.4
Southern Miss,-4.4
Western Michigan,-4.5
Troy,-4.6
Georgia Southern,-4.6
Colorado State,-5.4
NC State,-5.4
West Virginia,-5.8
Ball State,-5.8
North Texas,-5.9
Arizona,-5.9
Maryland,-6
Charlotte,-6.5
Florida International,-7.3
San Jose State,-8.4
Eastern Michigan,-8.9
South Florida,-9.1
Vanderbilt,-9.6
Arkansas,-9.8
Kansas,-10
UL-Monroe,-10.6
Miami-OH,-10.8
Georgia State,-10.9
Georgia Tech,-11
Kent State,-11.7
Middle Tennessee,-11.7
Nevada,-12.5
Coastal Carolina,-12.8
Northern Illinois,-13.3
Toledo,-13.4
East Carolina,-13.9
Rutgers,-14.3
Texas State,-14.9
New Mexico,-17.5
UNLV,-17.9
Rice,-18.5
South Alabama,-20.7
New Mexico State,-21
Old Dominion,-23.9
UTSA,-24.1
Connecticut,-25
UTEP,-26.1
Bowling Green,-28.2
Akron,-29.6
Massachusetts,-33.8
