Team,FPI
Ohio State,33.6
Alabama,30.3
Clemson,29.4
LSU,25.4
Penn State,24.4
Georgia,23.5
Oklahoma,22.6
Auburn,22.5
Oregon,20.6
Wisconsin,20
Florida,19.6
Michigan,18.5
Utah,18.4
Notre Dame,17.5
Washington,15
Texas A&M,15
Iowa,14.1
UCF,13.8
Iowa State,13.2
Minnesota,13
USC,12.6
Baylor,10.9
Mich. St.,10.9
Texas,10.4
Washington St,10.2
Missouri,9.6
Cincinnati,9.5
S Carolina,9.1
Oklahoma State,9
Boise State,8.8
TCU,8.3
Miss St,7.4
Virginia,7
Kansas State,6.9
Florida State,6.8
Tennessee,6.6
Indiana,6.5
Memphis,6.3
Air Force,6.1
SMU,6
Kentucky,6
Miami,5.6
Arizona State,5.4
North Carolina,5.2
Appalachian St,4.3
Wake Forest,4.3
UCLA,3.9
Duke,3.8
Navy,3.4
Ole Miss,3.4
Stanford,3.3
Louisiana,3.2
Tulane,2.6
Pittsburgh,2.6
Louisville,1.9
BYU,1.9
Texas Tech,1.9
Cal,1.8
Nebraska,1.3
Utah State,0.7
Arizona,0.5
W Michigan,0.3
San Diego State,-0.7
Purdue,-0.7
FAU,-1.2
Fresno State,-1.2
Syracuse,-1.2
Oregon St,-1.5
Maryland,-1.5
Wyoming,-1.6
Illinois,-1.6
NC State,-1.7
Houston,-1.7
Colorado,-1.7
West Virginia,-2.2
Boston College,-2.2
Virginia Tech,-2.2
Northwestern,-2.7
Hawai'i,-3.5
Arkansas,-4.1
Southern Miss,-4.4
LA Tech,-4.7
Marshall,-5.1
Tulsa,-5.3
Arkansas State,-5.4
Ball State,-5.5
Ga Southern,-5.7
Vanderbilt,-5.8
USF,-6
Army,-6
Temple,-6
Ohio,-6.2
N Illinois,-6.2
Toledo,-6.3
Georgia State,-6.6
W Kentucky,-6.8
North Texas,-7
Kansas,-7.2
Mid Tennessee,-7.3
Georgia Tech,-8.3
UAB,-8.5
Florida Intl,-8.9
Troy,-9
C. Carolina,-9.4
Colorado State,-9.6
E Michigan,-9.8
Buffalo,-9.8
Miami (OH),-10.4
San Jose State,-10.7
Kent State,-11.3
Cent Michigan,-11.5
Liberty,-11.9
UL Monroe,-12.8
UNLV,-13.6
Charlotte,-14.2
East Carolina,-14.7
Texas State,-15.3
Rutgers,-16.8
New Mexico,-16.8
Rice,-17.9
Nevada,-18.1
UTSA,-21
New Mexico St,-22.3
UConn,-22.6
Old Dominion,-23.2
South Alabama,-23.4
Bowling Green,-23.9
UTEP,-26.6
Akron,-29
UMass,-33.3
