Team,MASSEY
Ohio St,85.19
Alabama,82.83
Clemson,81.32
LSU,77.49
Penn St,74.64
Auburn,73.52
Florida,70.2
Oklahoma,73.18
Oregon,69.28
Utah,71.22
Michigan,68.25
Cincinnati,65.7
Georgia,70.65
Baylor,62.64
Minnesota,63.37
Iowa,66.46
Wisconsin,67.63
UCF,68.49
SMU,60.7
Notre Dame,64.83
Washington,67.6
Texas,63.9
Texas A&M,62.99
Iowa St,64.72
USC,62.92
Navy,60.84
Boise St,62
Kansas St,60.27
Air Force,61.85
Memphis,61.37
Oklahoma St,62.39
TCU,61.81
Appalachian St,60.45
Michigan St,59.75
Indiana,57.21
Washington St,62.56
Arizona St,57.75
Wake Forest,56.16
Stanford,57.13
Pittsburgh,55.18
San Diego St,53.75
Utah St,56.9
UCLA,55.81
Virginia,56.46
Louisiana,55.07
Tulane,55.84
North Carolina,55.55
Louisville,51.57
California,54.45
South Carolina,54.74
Mississippi St,56.54
Florida St,55.01
Duke,56.59
Missouri,56.35
Kentucky,54.14
West Virginia,54
Arizona,52.05
Oregon St,52.38
Nebraska,52.18
Wyoming,51.88
Texas Tech,54.79
Ga Southern,49.13
BYU,51.08
Miami FL,52.97
Virginia Tech,48.85
Colorado,51.37
Temple,49.08
FL Atlantic,51.15
Tennessee,51.59
Hawaii,47.83
Illinois,49.8
Fresno St,53.89
Boston College,51.57
Georgia St,46.91
Mississippi,51.72
Houston,51.46
Kansas,49.64
Marshall,46.91
NC State,49.05
Northwestern,51.71
Louisiana Tech,45.56
Tulsa,49.42
Arkansas St,48.49
Purdue,51.28
Maryland,49.74
Syracuse,50.02
Southern Miss,45.49
South Florida,45.7
Miami OH,44.48
Ohio,46.74
UAB,44.14
W Michigan,45.62
ULM,44.32
Ball St,43.74
WKU,43.63
Georgia Tech,44.56
San Jose St,42.49
MTSU,44.14
Arkansas,45.43
Nevada,40.39
Colorado St,42.51
Vanderbilt,42.05
E Michigan,41.49
Toledo,40.17
Buffalo,43.72
Army,46.82
N Illinois,42.87
Coastal Car,41.92
C Michigan,39.33
Troy,42.96
UNLV,40.01
North Texas,40.87
Florida Intl,38.04
Kent,36.88
Liberty,35.04
Texas St,35.38
East Carolina,34.84
Rutgers,33.31
Charlotte,32.9
New Mexico,32.1
UT San Antonio,29.3
South Alabama,30.48
Connecticut,28.7
Rice,30.9
Bowling Green,26.2
Old Dominion,27.23
New Mexico St,27.89
UTEP,19.45
Akron,16.07
Massachusetts,13.52
