Team,SP_PLUS
Ohio State,35.3
Alabama,34.1
LSU,29.1
Oklahoma,29
Clemson,28
Georgia,27.5
Penn State,25.9
Wisconsin,23.4
Utah,23.2
Auburn,21.2
Michigan,21.1
Minnesota,21
Florida,20.6
Oregon,19.1
Washington,19.1
Central Florida,18.9
Baylor,18.4
Iowa State,16.9
Memphis,16.8
Iowa,15.9
Texas A&M,15.4
Missouri,14.6
Indiana,14.5
Washington State,13.9
Notre Dame,13.6
USC,13.3
Oklahoma State,12.6
TCU,12.3
Michigan State,12.2
Miami-FL,11.1
Texas,11
Cincinnati,10.4
Appalachian State,10.4
Kansas State,8.1
Tulane,8.1
South Carolina,7.7
Boise State,7.2
Arizona State,7
Navy,6.8
SMU,6.7
Virginia,6.5
Mississippi State,6.1
Air Force,6
Nebraska,5.8
Texas Tech,5.3
Tennessee,4.8
Florida State,4.8
UL-Lafayette,4.4
Wake Forest,4.4
North Carolina,3.6
Pittsburgh,3.5
Ole Miss,3.4
Temple,3.2
Kentucky,2.7
Purdue,2.5
Maryland,2.3
Virginia Tech,1.5
NC State,1.5
Illinois,1.5
UCLA,1.2
Louisville,1.1
Arizona,1
Duke,1
Utah State,0.7
Fresno State,0
Houston,-0.4
Florida Atlantic,-0.6
Boston College,-0.7
San Diego State,-0.7
Oregon State,-0.9
Stanford,-1.1
California,-1.1
Colorado,-1.5
Wyoming,-1.7
UAB,-2
Northwestern,-2.4
BYU,-2.5
West Virginia,-2.6
Syracuse,-2.8
Army,-2.9
South Florida,-3
Louisiana Tech,-3
Arkansas State,-4.1
Kansas,-4.2
Tulsa,-4.4
Hawaii,-4.5
Western Kentucky,-4.7
Western Michigan,-4.7
Southern Miss,-5
Marshall,-5.3
Ohio,-5.3
North Texas,-5.4
Georgia Southern,-6.3
Arkansas,-6.4
Vanderbilt,-6.6
Florida International,-6.8
Troy,-6.9
Georgia Tech,-7.2
Liberty,-8.4
Ball State,-9
Colorado State,-10.2
Northern Illinois,-10.2
Georgia State,-10.3
Coastal Carolina,-10.8
Rutgers,-10.8
Buffalo,-11.4
Middle Tennessee,-11.4
Texas State,-11.6
Toledo,-12
Charlotte,-12.5
Central Michigan,-13.1
San Jose State,-13.2
Eastern Michigan,-13.3
Miami-OH,-13.4
UL-Monroe,-13.4
East Carolina,-13.6
Nevada,-15.4
UNLV,-16.5
Kent State,-17.7
New Mexico,-19.6
New Mexico State,-22.4
Connecticut,-22.5
Rice,-23.3
Old Dominion,-23.4
South Alabama,-23.9
UTSA,-24.3
Bowling Green,-26.8
Akron,-28
UTEP,-29.4
Massachusetts,-31.7
