Team,FPI
Alabama,29.6
Clemson,29.2
LSU,25.8
Georgia,23.8
Penn State,21.3
Michigan,19
Notre Dame,18.7
Auburn,17.8
Oklahoma,17.6
Florida,16.8
Texas A&M,16.5
Washington,15.8
Oregon,15
Ohio State,14.4
Utah,14.4
Washington St,12.7
Wisconsin,12.5
Mich. St,12.4
Miss St,12
Texas,11.5
Iowa,10.7
Miami,10.3
UCF,10.2
S Carolina,9.6
UCLA,9.5
Florida State,9.2
USC,8.9
Boise State,8.8
Virginia,8.6
Oklahoma State,8.3
Kentucky,8.3
Stanford,7.9
Missouri,7.8
Maryland,7.7
Minnesota,7.5
Cincinnati,7.3
Baylor,7.1
Tennessee,6.8
Arizona State,6.8
Iowa State,6.4
NC State,6.4
Virginia Tech,6.2
Nebraska,4.8
Ole Miss,4.7
Syracuse,4.7
Texas Tech,4.5
North Carolina,3.9
Indiana,3.7
Memphis,3.5
Kansas State,2.7
BYU,2.4
Arizona,2.2
Northwestern,2.2
Colorado,2.1
Vanderbilt,1.9
Boston College,1.8
TCU,1.7
Cal,1.4
Air Force,1.3
Pittsburgh,1.1
Purdue,0.5
W Michigan,0.1
Illinois,0.1
Wake Forest,0
Tulane,-0.2
Fresno State,-0.4
Appalachian St,-0.5
West Virginia,-1.2
Louisville,-1.2
Duke,-1.4
Temple,-1.8
Marshall,-2.2
Houston,-2.2
Wyoming,-2.7
SMU,-2.8
Toledo,-3
Utah State,-3.2
Hawai'i,-3.5
Southern Miss,-3.6
Arkansas,-4
Rutgers,-4.6
Army,-4.8
Georgia Tech,-5
FAU,-5.2
Mid Tennessee,-5.5
Oregon St,-5.7
San Diego State,-5.9
Ohio,-6
Louisiana,-6.3
Georgia State,-6.6
North Texas,-6.6
N Illinois,-6.6
Arkansas State,-6.7
Nevada,-6.9
Florida Intl,-7
Ga Southern,-7.1
Troy,-7.2
Tulsa,-7.3
UNLV,-8.2
Navy,-8.4
LA Tech,-9.1
Ball State,-9.2
E Michigan,-9.3
USF,-9.8
Miami (OH),-9.8
UL Monroe,-10.5
Colorado State,-10.7
W Kentucky,-11.1
Texas State,-11.9
East Carolina,-12.2
San Jose State,-13
Kansas,-13.1
New Mexico,-13.6
Buffalo,-13.8
Kent State,-13.8
UTSA,-14
UAB,-14.2
Bowling Green,-14.3
Cent Michigan,-14.6
C. Carolina,-14.6
Liberty,-14.8
Charlotte,-15.9
South Alabama,-17.1
Rice,-19.2
Akron,-20.2
New Mexico St,-20.6
UMass,-22.5
UConn,-24
Old Dominion,-24.6
UTEP,-25.2
