Team,MASSEY
Clemson,96.87
Alabama,88.74
Georgia,81.51
LSU,77.93
Ohio St,77.69
Notre Dame,77.32
Oklahoma,76.74
Washington,74.4
Auburn,73.67
Texas A&M,74.34
Florida,73.43
Iowa,73.38
Michigan,73.35
Syracuse,73.1
Penn St,73
Texas,72.59
Mississippi St,71.67
Stanford,70.48
UCF,71.42
Wisconsin,70.98
Washington St,70.44
Utah,69.44
Virginia,67.21
Kentucky,68.51
West Virginia,68.27
Boise St,67.1
NC State,67.57
Wake Forest,65.58
Oklahoma St,66.5
Northwestern,68.33
USC,64.61
Boston College,65.71
Michigan St,66.46
Minnesota,65.71
Fresno St,68.43
Duke,66.65
Iowa St,64.89
Missouri,67.85
Pittsburgh,66.4
Appalachian St,64.44
Oregon,65.29
TCU,64
Miami FL,65.05
Utah St,65.22
Nebraska,63.23
Kansas St,62.86
Texas Tech,62.6
Arizona St,62.76
Cincinnati,61.58
Maryland,62.24
Purdue,64.79
Georgia Tech,62.34
California,61.2
Memphis,60.54
Army,61.39
Baylor,61.06
South Carolina,63.48
Indiana,59.86
North Carolina,57.3
Ohio,59.54
Florida St,60.8
Vanderbilt,60.26
Wyoming,56.69
BYU,59.81
Virginia Tech,59.7
Mississippi,59.64
Temple,58.1
Colorado,57.19
Tulane,56.67
Troy,57.5
Nevada,55
Air Force,56.74
UCLA,57.94
Houston,55.46
San Diego St,53.84
Buffalo,55.07
Marshall,54.8
Arizona,57.07
SMU,52.18
Illinois,53.87
Kansas,53.4
Ga Southern,53.96
Miami OH,53.94
E Michigan,52.29
N Illinois,52.12
Navy,52.78
MTSU,53.22
Tennessee,55.87
Louisville,52.4
Toledo,52.75
FL Atlantic,52.4
UAB,52.13
Rutgers,51.11
Hawaii,48.89
Arkansas,50.85
North Texas,50.61
Arkansas St,53.05
Southern Miss,49.82
Louisiana,50.56
Louisiana Tech,50.05
W Michigan,48.43
ULM,48.23
Florida Intl,49.34
South Florida,48.38
UNLV,46.96
Oregon St,47.71
Georgia St,43.9
New Mexico,44.56
Tulsa,45.91
San Jose St,44.03
Colorado St,45.12
East Carolina,43.43
UT San Antonio,41.18
Charlotte,42.17
Bowling Green,41.74
Coastal Car,43.15
Liberty,41.62
C Michigan,40.52
Ball St,41.18
South Alabama,40.92
Texas St,39.91
Akron,40.27
Massachusetts,39.81
Kent,39
WKU,40.9
New Mexico St,38.27
Old Dominion,37.31
Rice,35.63
Connecticut,32.83
UTEP,29.29
