Team,SP_PLUS
Alabama,36.6
Clemson,31.3
LSU,29.8
Georgia,27.3
Wisconsin,22.8
Penn State,22.7
Ohio State,22
Oklahoma,21.5
Texas A&M,21.4
Washington,21.1
Auburn,19.5
Florida,19.3
Central Florida,17.7
Michigan,17.6
Utah,16.7
Mississippi State,16.5
Notre Dame,16.2
Washington State,14.1
Iowa,14.1
Appalachian State,13.9
Miami-FL,13.8
Missouri,13.7
Texas,13.5
Oregon,13.5
Virginia,12.4
Michigan State,11.8
Boise State,11.4
Baylor,11.4
USC,10.9
Memphis,10.7
Texas Tech,10.3
NC State,9.7
Oklahoma State,9.4
Stanford,9.2
Kentucky,8.9
Cincinnati,8.7
South Carolina,8.5
TCU,7.8
Minnesota,7.8
Syracuse,7.6
Maryland,7
Florida State,6.4
Tennessee,6.4
Arizona State,6.2
Ole Miss,5.7
Wake Forest,5.6
Iowa State,5.5
Kansas State,5.2
Southern Miss,4.8
North Carolina,4.8
Marshall,4.5
Boston College,4
Virginia Tech,3.9
Nebraska,3.6
Colorado,3.6
Air Force,3.5
Vanderbilt,3.3
Temple,3.3
Fresno State,2.9
California,2.9
Utah State,2.6
Arkansas,2.6
Western Michigan,2.4
Indiana,2.2
Purdue,2.1
Northern Illinois,1.9
Tulane,1.5
Wyoming,1.2
Illinois,1.2
Ohio,1.1
San Diego State,1
Troy,0.9
West Virginia,0.8
North Texas,0.4
BYU,-0.1
Houston,-0.1
Northwestern,-0.8
Arizona,-0.9
SMU,-1.1
UCLA,-1.3
Nevada,-1.6
Louisville,-1.8
Florida Atlantic,-2
UNLV,-2.2
Hawaii,-2.4
Duke,-2.4
Pittsburgh,-3.3
Arkansas State,-3.8
Toledo,-5.1
Army,-5.2
UL-Lafayette,-5.6
Rutgers,-6.5
Oregon State,-6.6
Georgia Tech,-6.7
Middle Tennessee,-7.3
UL-Monroe,-7.3
Eastern Michigan,-7.8
Navy,-8.2
South Florida,-8.2
Tulsa,-9.2
Buffalo,-9.6
Louisiana Tech,-9.7
Georgia Southern,-9.7
San Jose State,-9.8
Miami-OH,-9.9
Florida International,-10.7
Ball State,-10.8
Kansas,-11.6
Georgia State,-12.1
Charlotte,-12.5
Texas State,-12.6
UAB,-13.6
Central Michigan,-14
New Mexico,-14.4
Bowling Green,-14.8
Coastal Carolina,-14.8
Western Kentucky,-15.1
Colorado State,-15.5
UTSA,-15.7
Liberty,-16.4
Kent State,-16.8
South Alabama,-18.2
East Carolina,-18.3
Rice,-20.3
Old Dominion,-20.3
New Mexico State,-23.5
Akron,-26
Connecticut,-26.1
Massachusetts,-27.3
UTEP,-29.2
