Team,MASSEY
Alabama,84.18
Clemson,81.85
Ohio St,79.94
LSU,76.39
Oklahoma,75.99
Georgia,71.74
Penn St,71.2
Auburn,70.92
Wisconsin,70.7
Oregon,69.7
Washington,69.35
UCF,69.01
Texas,68.92
Florida,68.74
Notre Dame,68.39
Utah,67.17
Missouri,65.77
Iowa St,64.56
Iowa,64.07
Michigan,64.02
Cincinnati,63.94
Oklahoma St,63.14
Boise St,62.61
USC,62.43
Texas A&M,62.12
Michigan St,61.28
Duke,61.2
Memphis,60.89
TCU,60.74
Stanford,60.69
Arizona St,60.3
Appalachian St,60.28
South Carolina,59.82
Washington St,59.57
Minnesota,59.49
Baylor,59.35
California,58.42
Utah St,57.74
Tulane,57.73
SMU,57.68
Mississippi St,57.44
Navy,57.43
Texas Tech,57.24
Pittsburgh,56.77
Wake Forest,56.69
North Carolina,56.58
Virginia,56.55
Fresno St,56.3
West Virginia,56.01
Syracuse,55.97
Air Force,55.83
Kansas St,55.51
Northwestern,55.4
Miami FL,54.95
Arizona,54.3
Kentucky,53.86
Florida St,53.84
Mississippi,53.7
Purdue,53.68
Houston,53.27
Maryland,53.21
NC State,53.17
Indiana,53.15
Colorado,52.07
Temple,52.05
San Diego St,51.94
Nebraska,51.48
Louisiana,51.14
Wyoming,50.97
Army,50.87
FL Atlantic,50.7
UCLA,50.33
Oregon St,49.65
Boston College,49.51
Virginia Tech,49.48
Louisville,49.3
BYU,49.22
Hawaii,49.07
Arkansas St,48.02
Tennessee,47.83
Southern Miss,47.38
Louisiana Tech,46.1
Troy,46.08
Kansas,46.03
Tulsa,46.02
W Michigan,45.78
Arkansas,45.65
ULM,45.3
Marshall,44.85
Ohio,44.46
UAB,44.42
Ga Southern,44.23
Nevada,43.6
WKU,43.49
Georgia St,43.01
Toledo,42.99
North Texas,42.98
Miami OH,42.91
Florida Intl,42.71
MTSU,42.38
Georgia Tech,42.36
South Florida,42.2
Buffalo,41.63
Ball St,41.24
Vanderbilt,40.92
N Illinois,40.56
UNLV,39.98
San Jose St,39.85
Illinois,39.53
C Michigan,39.4
Coastal Car,39.08
Colorado St,38.52
E Michigan,38.28
Kent,37.33
Liberty,36.66
East Carolina,36.61
Texas St,36.5
Charlotte,34.39
Rice,33.84
New Mexico,31.84
Rutgers,31.82
South Alabama,31.78
Bowling Green,31.02
UT San Antonio,30.45
Old Dominion,30.27
New Mexico St,29.36
Connecticut,21.67
UTEP,21.53
Akron,19.73
Massachusetts,16.76
