Team,SP_PLUS
Ohio State,30.9
Alabama,29.8
Oklahoma,27.3
Wisconsin,26
LSU,25.9
Penn State,24.4
Georgia,24.4
Clemson,23.1
Oregon,20.1
Missouri,19.5
Florida,19.1
Auburn,19.1
Michigan,18.8
Utah,18.7
Iowa State,17.6
Baylor,17.2
Minnesota,17
Washington,16.5
Iowa,15.6
Central Florida,15.5
Notre Dame,15.1
Texas,15.1
Texas A&M,15.1
Memphis,14.9
Indiana,14.8
Oklahoma State,14.3
Michigan State,14
TCU,13.4
USC,12.5
Miami-FL,11.7
South Carolina,11
Washington State,10.6
Arizona State,10.6
Texas Tech,10.5
Mississippi State,9.5
Cincinnati,8.3
Kansas State,7.9
Tulane,7.7
SMU,7.1
Temple,6.3
Navy,6.2
Boise State,6.1
Maryland,6
Nebraska,5.9
Arizona,5.5
Virginia,5.5
Tennessee,5
Duke,4.9
Wake Forest,4.6
Ole Miss,4.4
Purdue,4.3
NC State,3.9
Pittsburgh,3.5
Appalachian State,3.3
California,3.3
North Carolina,3.2
Louisville,3
Florida State,2.8
Air Force,2.8
Utah State,2.6
Kentucky,2.2
Northwestern,2.1
Stanford,2
West Virginia,1.9
Colorado,1.7
Syracuse,1.7
Virginia Tech,1.3
UL-Lafayette,0
Boston College,0
Army,-0.1
Oregon State,-0.2
UCLA,-0.4
Houston,-0.6
Illinois,-0.7
Arkansas,-1.4
Fresno State,-1.5
Tulsa,-2
Kansas,-2
San Diego State,-3.1
Wyoming,-4.1
South Florida,-4.2
BYU,-4.4
Florida Atlantic,-4.9
Hawaii,-5.3
Arkansas State,-5.4
Georgia Tech,-5.5
North Texas,-5.7
Marshall,-5.7
Western Kentucky,-5.8
Southern Miss,-6
Florida International,-6.2
UAB,-6.5
Louisiana Tech,-6.6
Vanderbilt,-7
Western Michigan,-8
Liberty,-8
Rutgers,-8.6
Troy,-9.3
East Carolina,-9.8
Colorado State,-10.3
Ohio,-10.3
Coastal Carolina,-11.4
Toledo,-12.2
Nevada,-12.5
Texas State,-12.5
UL-Monroe,-12.6
Ball State,-12.7
Georgia Southern,-13.2
Charlotte,-13.3
San Jose State,-13.6
Georgia State,-14.1
Middle Tennessee,-14.4
Buffalo,-14.4
Central Michigan,-15
Northern Illinois,-15.1
Kent State,-16.2
UNLV,-16.3
Eastern Michigan,-16.7
Miami-OH,-17.1
New Mexico,-17.7
Old Dominion,-18.8
Rice,-20.1
New Mexico State,-20.2
Connecticut,-22
South Alabama,-22
UTSA,-22.9
Bowling Green,-24.5
Akron,-27
UTEP,-27.8
Massachusetts,-28.5
