Team,MASSEY
Alabama,83.75
Clemson,82.06
Ohio St,79.67
Georgia,76.53
Oklahoma,76
LSU,75.94
Auburn,71.55
Penn St,71.08
Florida,69.98
Texas,69.89
Notre Dame,69.8
Oregon,69.16
UCF,68.29
Washington,67.7
Wisconsin,67.37
Missouri,66.02
Michigan,65.29
Iowa,65.15
Utah,64.47
Oklahoma St,63.88
Michigan St,63.08
Texas A&M,62.32
Iowa St,62.12
Cincinnati,62.09
Mississippi St,61.96
Memphis,61.51
Duke,61.28
USC,61.08
Appalachian St,60.93
Stanford,60.52
Boise St,60.23
TCU,60.21
Washington St,59.79
Arizona St,59.7
Baylor,59.5
West Virginia,58.9
Fresno St,58.47
Tulane,58.37
Wake Forest,58.33
California,58.11
Utah St,57.9
Minnesota,57.83
Texas Tech,57.63
Pittsburgh,57.41
Maryland,57.34
SMU,57.32
Syracuse,56.81
Kansas St,56.5
South Carolina,56.46
Kentucky,56.16
Virginia,56.11
North Carolina,55.95
Arizona,55.71
Northwestern,55.39
Houston,54.95
Army,54.84
Miami FL,54.75
Mississippi,53.86
Navy,53.53
Nebraska,53.49
NC State,53.35
Florida St,52.99
Indiana,52.31
Louisiana,51.96
Colorado,51.85
Purdue,51.79
Air Force,51.48
San Diego St,51.37
Temple,51.33
Oregon St,51.15
Wyoming,50.74
UCLA,50.6
BYU,50.08
Virginia Tech,49.5
Boston College,49.35
Hawaii,49.15
FL Atlantic,48.45
Tulsa,47.86
Arkansas St,47.46
Kansas,46.72
Toledo,46.67
Troy,46.37
Ohio,46.23
Miami OH,45.88
Louisville,45.75
Vanderbilt,45.69
Southern Miss,45.44
Tennessee,44.88
ULM,44.78
Ga Southern,44.77
North Texas,44.55
Marshall,44.4
Louisiana Tech,44.32
Arkansas,44.21
Nevada,44.02
W Michigan,43.64
MTSU,43.63
UAB,42.69
Georgia Tech,42.33
Buffalo,42.24
Coastal Car,40.75
South Florida,40.59
Florida Intl,40.27
Illinois,40.18
Georgia St,40.12
E Michigan,39.45
N Illinois,39.14
WKU,38.78
Ball St,38.72
Colorado St,38.7
San Jose St,38.53
C Michigan,37.94
Liberty,37.12
Charlotte,36.03
East Carolina,35.89
Texas St,35.88
Rutgers,35.15
UNLV,34.33
Kent,33.59
Rice,33.51
UT San Antonio,32.16
South Alabama,32.04
New Mexico,31.95
New Mexico St,30.4
Old Dominion,29.09
Bowling Green,24.37
Connecticut,22.1
Akron,21.89
UTEP,21.48
Massachusetts,19.18
