Team,SP_PLUS
Alabama,32.5
Ohio State,32.4
Oklahoma,28.8
LSU,27.5
Georgia,26.8
Wisconsin,25.8
Penn State,25.2
Clemson,24.2
Florida,22.3
Missouri,20.9
Oregon,20.5
Auburn,20.3
Notre Dame,18.7
Iowa State,18.5
Baylor,18.1
Utah,18
Michigan,17.6
Michigan State,16.6
Texas A&M,16.6
Texas,16.3
Iowa,16.3
Central Florida,16.2
Washington,16.1
Memphis,15.8
Oklahoma State,15
Minnesota,14.5
TCU,13
Indiana,12.7
USC,12.2
Mississippi State,11.8
Washington State,11.6
Miami-FL,11.2
Texas Tech,10.7
Arizona State,10.6
South Carolina,10.4
Maryland,8.7
Arizona,8.7
Cincinnati,8
Nebraska,7.9
Virginia,7.6
Kansas State,7.5
SMU,7.2
Temple,7.2
Tulane,6.4
Florida State,5.5
Duke,5.1
Boise State,5
Colorado,4.9
Appalachian State,4.9
Ole Miss,4.7
Wake Forest,4.7
Navy,4
Oregon State,3.5
California,3.4
Tennessee,3.4
Air Force,3.3
Pittsburgh,3.2
NC State,3.1
Utah State,3.1
UL-Lafayette,2.9
North Carolina,2.8
Louisville,2.8
Kentucky,1.3
West Virginia,1.2
Syracuse,0.9
Tulsa,0.9
Army,0.9
UCLA,0.7
Stanford,0.6
Northwestern,0.4
Illinois,-0.3
Purdue,-0.3
Houston,-0.4
Boston College,-0.9
Virginia Tech,-1.2
San Diego State,-1.7
Fresno State,-1.8
North Texas,-2.2
Arkansas,-2.3
Hawaii,-2.4
Florida Atlantic,-3.1
Kansas,-3.3
BYU,-4.1
Arkansas State,-4.9
Wyoming,-5.2
South Florida,-6.1
Western Michigan,-6.5
Marshall,-6.8
Southern Miss,-6.8
Western Kentucky,-7
Liberty,-7.3
Georgia Tech,-7.3
UAB,-7.9
Florida International,-7.9
Vanderbilt,-8.1
Troy,-9.1
Toledo,-9.4
Rutgers,-9.5
Coastal Carolina,-9.8
Louisiana Tech,-9.8
Ohio,-10.4
Charlotte,-11.3
East Carolina,-11.7
Texas State,-12
Colorado State,-12.1
UL-Monroe,-12.4
Ball State,-12.9
Georgia Southern,-13.3
San Jose State,-13.5
Buffalo,-14.1
Central Michigan,-15
Nevada,-15.4
Northern Illinois,-15.4
Middle Tennessee,-15.7
Georgia State,-16.3
Eastern Michigan,-17
Miami-OH,-17.3
Old Dominion,-18.9
New Mexico,-19.1
Kent State,-19.7
UNLV,-20.3
New Mexico State,-20.7
South Alabama,-21.8
Rice,-22.2
UTSA,-22.4
Connecticut,-24.1
Akron,-27.3
UTEP,-29
Massachusetts,-29.1
Bowling Green,-29.3
