Team,FPI
Ohio State,33.8
Alabama,30.3
Clemson,29
LSU,25.4
Penn State,24.8
Georgia,23.7
Oklahoma,22.7
Oregon,22.4
Auburn,21.4
Wisconsin,20.3
Florida,19.4
Michigan,19.3
Utah,18.6
Notre Dame,16.1
Washington,14.5
Texas A&M,14.2
Iowa,14
UCF,13.6
Iowa State,13.3
Minnesota,12.9
Baylor,11.1
Mich. St.,10.9
USC,10.5
Washington St,10.4
Texas,10.2
Missouri,9.8
Oklahoma State,9.4
Miss St,9.2
S Carolina,9.1
Kansas State,8.6
Cincinnati,8.3
Boise State,8.2
TCU,8.1
Virginia,7.9
Miami,7.6
Indiana,7.6
Tennessee,7.2
Memphis,6.6
SMU,6.3
Louisiana,6.3
Kentucky,5.8
Wake Forest,5.7
Air Force,5.5
Navy,5.4
Arizona State,5.3
North Carolina,5.1
Florida State,4.9
Appalachian St,4.5
UCLA,4.3
Ole Miss,4.3
BYU,4
Duke,3.9
Stanford,3.1
Pittsburgh,2.9
Tulane,2.9
Cal,2.1
Louisville,1.9
Texas Tech,1.8
Nebraska,0.7
W Michigan,0.4
Boston College,0.1
Virginia Tech,-0.1
Oregon St,-0.3
Purdue,-0.4
FAU,-0.5
San Diego State,-0.7
Fresno State,-1
Illinois,-1.1
Arizona,-1.4
Houston,-1.5
Wyoming,-1.6
Utah State,-1.6
Maryland,-2.3
West Virginia,-2.5
Colorado,-2.5
NC State,-3.5
Hawai'i,-4
Syracuse,-4
Southern Miss,-4.2
Northwestern,-4.2
LA Tech,-4.7
Temple,-4.8
Marshall,-4.9
Arkansas State,-5
Army,-5.3
Tulsa,-5.3
Ga Southern,-5.4
Ball State,-5.7
Arkansas,-5.7
Vanderbilt,-5.9
USF,-6.4
Ohio,-6.6
Georgia State,-6.6
North Texas,-6.6
Toledo,-6.7
Buffalo,-6.8
W Kentucky,-7.1
Cent Michigan,-8.4
Mid Tennessee,-8.5
Georgia Tech,-8.5
Kansas,-8.6
UAB,-8.6
Troy,-8.7
N Illinois,-9.3
Colorado State,-9.4
Liberty,-9.4
Miami (OH),-9.4
Florida Intl,-9.6
San Jose State,-10.2
Kent State,-10.9
E Michigan,-12
C. Carolina,-12.1
East Carolina,-12.9
UL Monroe,-13
Charlotte,-13
UNLV,-14.2
Texas State,-15.5
Rutgers,-17.2
Nevada,-17.3
New Mexico,-17.4
Rice,-18.2
UTSA,-20.4
New Mexico St,-21.8
Old Dominion,-21.9
Bowling Green,-22.2
South Alabama,-23.2
UConn,-23.8
UTEP,-26.8
Akron,-28.5
UMass,-34.8
