Team,MASSEY
Ohio St,86.55
Alabama,84.69
Clemson,81.83
LSU,78.45
Penn St,76.37
Oregon,72.65
Utah,73.33
Auburn,73.21
Oklahoma,74.31
Georgia,73.86
Florida,71.09
Michigan,70.42
Baylor,63.8
Wisconsin,69.24
Cincinnati,63.66
Iowa,67.16
UCF,69.07
Minnesota,63.78
Kansas St,63.89
Notre Dame,63.77
Memphis,63.41
Texas A&M,64.38
SMU,61.78
Navy,62.79
Oklahoma St,64.13
Iowa St,65.52
Texas,64.25
Washington,68.03
Boise St,61.39
USC,61.45
Air Force,60.36
Indiana,59.5
Appalachian St,61.3
TCU,62.23
Wake Forest,58.23
Michigan St,60.68
Washington St,63.35
Louisiana,59.07
Virginia,58.92
Arizona St,58.27
Mississippi St,60.19
Pittsburgh,56.13
Stanford,57.25
Tulane,57.43
South Carolina,57.39
San Diego St,53.86
UCLA,56.77
Louisville,52.87
California,55.58
Oregon St,55.63
BYU,55.16
Missouri,58.06
Miami FL,56.87
Kentucky,56.04
North Carolina,56.81
Duke,57.71
Tennessee,56.27
Temple,52.3
Virginia Tech,52.09
Boston College,54.95
West Virginia,54.1
FL Atlantic,52.6
Wyoming,52.56
Ga Southern,49.73
Florida St,53.4
Texas Tech,55.21
Fresno St,53.23
Utah St,52.69
Mississippi,54.67
Illinois,51.08
Georgia St,48.1
Nebraska,51.6
Arizona,50.06
Arkansas St,49.68
Houston,52.12
Purdue,51.87
Colorado,49.86
Miami OH,46.32
Marshall,46.81
Louisiana Tech,45.85
Tulsa,49.96
Hawaii,47.81
Kansas,48.28
NC State,47.56
Maryland,49.21
Southern Miss,46
Buffalo,48.17
W Michigan,47.17
Northwestern,49.3
South Florida,45.95
Syracuse,47.36
Ohio,46.26
C Michigan,43.55
Toledo,41.06
Georgia Tech,44.94
Nevada,40.8
WKU,43.87
San Jose St,43.15
Colorado St,43.14
Ball St,43.76
Army,48.18
ULM,43.77
UAB,42.28
Arkansas,44.61
Vanderbilt,41.92
E Michigan,39.9
Coastal Car,40.46
MTSU,41.84
North Texas,41.39
Troy,43.1
N Illinois,40.17
Liberty,37.58
Florida Intl,38.23
East Carolina,39.22
Charlotte,36.58
UNLV,37.62
Kent,38
Texas St,35.71
Rutgers,33.33
New Mexico,31.71
UT San Antonio,28.97
Bowling Green,29.34
South Alabama,30.25
Connecticut,28.26
Rice,30.64
Old Dominion,28.59
New Mexico St,28.87
UTEP,18.8
Massachusetts,11.57
Akron,13.92
