Team,SP_PLUS
Ohio State,35.4
Alabama,34.1
LSU,29.6
Oklahoma,28.8
Clemson,28.1
Georgia,26.7
Penn State,26.1
Wisconsin,23
Utah,22.6
Minnesota,21.5
Michigan,20.8
Auburn,20.7
Florida,20
Oregon,19.4
Baylor,19.3
Central Florida,19.3
Washington,17.9
Iowa State,17.5
Memphis,17
Texas A&M,16.7
Indiana,15.6
Iowa,15.5
Missouri,14.3
Washington State,13.8
Notre Dame,13.6
Oklahoma State,12.3
USC,11.3
Miami-FL,11.3
Michigan State,11.2
TCU,11.1
Navy,10.8
Kansas State,10.8
Texas,10.2
Tulane,9.4
Cincinnati,9.1
Appalachian State,8.2
UL-Lafayette,7.9
South Carolina,7.8
Mississippi State,7.3
SMU,7.1
Air Force,6.8
Tennessee,6.7
Virginia,6.7
Arizona State,6.7
Boise State,6.5
Wake Forest,6.4
Texas Tech,4.6
Pittsburgh,4.2
North Carolina,3.9
Nebraska,3.7
Florida State,3.4
Temple,3
Louisville,2.5
Ole Miss,2.5
Purdue,2.5
Kentucky,2.2
Illinois,2.2
UCLA,1.9
Oregon State,1.7
Boston College,1.7
Duke,1.1
Florida Atlantic,0.2
Maryland,0.2
Virginia Tech,-0.2
NC State,-0.4
Fresno State,-0.5
Houston,-1.1
San Diego State,-1.2
Arizona,-1.3
Wyoming,-1.8
Utah State,-1.8
California,-2.2
BYU,-2.2
Louisiana Tech,-2.5
Army,-2.7
South Florida,-3.1
Stanford,-3.1
UAB,-3.8
Colorado,-3.8
Western Michigan,-4
Hawaii,-4.6
Tulsa,-4.6
Georgia Southern,-4.7
Marshall,-4.7
Arkansas State,-4.7
Western Kentucky,-4.7
Ohio,-4.9
West Virginia,-4.9
North Texas,-4.9
Liberty,-5
Troy,-5.1
Syracuse,-5.1
Southern Miss,-5.2
Northwestern,-5.3
Kansas,-5.6
Florida International,-6.3
Georgia Tech,-7.7
Ball State,-8.1
Colorado State,-8.1
Arkansas,-8.4
Buffalo,-8.4
Central Michigan,-8.7
Georgia State,-9
Vanderbilt,-9
Charlotte,-10.3
Coastal Carolina,-10.7
Rutgers,-11
Middle Tennessee,-11.9
East Carolina,-12
San Jose State,-12.4
Toledo,-12.5
UL-Monroe,-13.1
Northern Illinois,-13.3
Texas State,-13.4
Miami-OH,-13.9
Eastern Michigan,-15.1
Nevada,-15.2
Kent State,-17.2
UNLV,-18
New Mexico,-19.5
New Mexico State,-21.7
Connecticut,-22.5
Old Dominion,-23.3
South Alabama,-23.4
Rice,-23.8
Bowling Green,-24
UTSA,-25.4
UTEP,-28.4
Akron,-28.5
Massachusetts,-32.6
