Team,MASSEY
Ohio St,88.21
LSU,82.68
Clemson,84.73
Alabama,85.23
Georgia,78.5
Utah,76.75
Michigan,75.8
Oklahoma,73.38
Penn St,74.65
Florida,74.77
Notre Dame,72.51
Auburn,74.23
Baylor,69.16
Wisconsin,72.47
Oregon,72.25
Minnesota,67.03
Iowa,68.9
Memphis,67.04
Oklahoma St,66.74
Texas A&M,67.98
USC,65.97
Iowa St,67.63
Cincinnati,61.6
Boise St,63.89
Appalachian St,64.92
Navy,63.44
Texas,64.64
Kansas St,63.61
UCF,65.71
Air Force,62.18
SMU,60.98
Washington,66.74
Louisiana,61.73
TCU,63.87
Tennessee,59.52
Virginia Tech,59.37
Indiana,59.71
Virginia,59.03
Arizona St,60.09
Mississippi St,60.81
Washington St,61.71
Wake Forest,57.36
Louisville,56.04
California,56.74
Michigan St,59.19
Illinois,56.05
South Carolina,57.21
Pittsburgh,53.86
Oregon St,56.72
BYU,54.93
Temple,54.61
FL Atlantic,55.57
Kentucky,57.38
Tulane,57.46
Florida St,55.79
Texas Tech,59.69
Miami FL,57.41
UCLA,55.32
West Virginia,55.01
Colorado,53.51
North Carolina,56.7
Nebraska,55.51
Missouri,56.38
Mississippi,56.49
Utah St,51.47
San Diego St,52.27
Stanford,53.55
Arkansas St,50.43
Hawaii,49.81
Purdue,53.23
Boston College,54.25
Wyoming,53.42
Ga Southern,50.87
WKU,51.26
Houston,52.21
Arizona,49.51
Tulsa,50.7
Marshall,48.46
Nevada,45.26
Georgia St,47.38
Kansas,50.4
Duke,51.34
W Michigan,48.57
Southern Miss,48.24
Miami OH,44.29
C Michigan,45.75
Buffalo,49.47
Syracuse,49.01
Louisiana Tech,46.16
ULM,45.66
South Florida,46.63
Fresno St,49.4
UAB,43.94
Army,50.12
Maryland,46.6
E Michigan,44.2
Troy,47.65
Northwestern,48.38
Ohio,46.84
NC State,45.47
Georgia Tech,43.56
Florida Intl,41.73
Charlotte,40.53
San Jose St,43.93
Coastal Car,44.13
Kent,40.86
Toledo,39.82
Colorado St,42.03
Ball St,44
Vanderbilt,40.63
Arkansas,42.84
East Carolina,40.78
Liberty,39.25
MTSU,41.94
N Illinois,38.63
UNLV,36.73
North Texas,38.74
Texas St,34.44
Rice,35.79
Rutgers,32.82
UT San Antonio,30.5
New Mexico,32.34
South Alabama,34.22
Bowling Green,27.12
New Mexico St,28.52
Connecticut,28
Old Dominion,29.5
UTEP,20.41
Akron,17.74
Massachusetts,11.69
