Team,SP_PLUS
Ohio State,36.2
Alabama,32.6
LSU,29.9
Clemson,28.8
Georgia,27.7
Oklahoma,25.7
Penn State,24.1
Utah,23.9
Florida,22.8
Michigan,22.7
Auburn,22.2
Wisconsin,21
Memphis,20.4
Minnesota,19.7
Notre Dame,18.4
Texas A&M,18
Washington,18
Central Florida,17.9
Baylor,17.8
Oregon,17.7
Iowa,15.7
Indiana,14.5
USC,14.4
Iowa State,14.3
Miami-FL,13.4
Washington State,12.7
Oklahoma State,11.1
Boise State,10.6
UL-Lafayette,9.8
Air Force,9.6
Texas,9.4
Appalachian State,9.3
Cincinnati,9
Navy,8.8
TCU,8.7
Missouri,8.6
Virginia,8.6
Tennessee,8.1
Tulane,7.7
Michigan State,7.6
Arizona State,7.5
Virginia Tech,7.1
South Carolina,6.8
Temple,5.9
North Carolina,5.9
Texas Tech,5.5
Kentucky,5.3
Kansas State,5.3
Mississippi State,5
SMU,5
Florida State,4.3
Nebraska,4.2
Florida Atlantic,3.3
Wake Forest,3.1
Ole Miss,2.9
Illinois,2.6
Louisville,1.9
Pittsburgh,1.4
BYU,1.3
Army,0.3
Ohio,0.1
Purdue,-0.1
San Diego State,-0.6
Oregon State,-1.5
Arkansas State,-1.7
Wyoming,-1.8
Colorado,-1.9
UCLA,-2
Western Kentucky,-2.3
UAB,-2.5
Marshall,-2.8
Syracuse,-2.8
Duke,-2.8
Louisiana Tech,-2.8
Troy,-2.9
Houston,-2.9
Boston College,-3
NC State,-3.1
Stanford,-3.1
Fresno State,-3.1
Southern Miss,-3.3
Utah State,-3.4
Hawaii,-3.5
California,-3.9
Western Michigan,-4.4
Tulsa,-5.3
Arizona,-5.6
Maryland,-5.7
West Virginia,-5.7
North Texas,-5.9
Northwestern,-5.9
Liberty,-6.1
Georgia Southern,-6.6
Buffalo,-7
South Florida,-7
Central Michigan,-7.2
Florida International,-7.5
Colorado State,-7.7
Ball State,-7.8
Charlotte,-8.7
Kansas,-8.8
Vanderbilt,-8.8
Georgia Tech,-9.3
Georgia State,-9.7
Eastern Michigan,-9.8
Miami-OH,-10
San Jose State,-10.4
Arkansas,-10.4
Middle Tennessee,-11
Toledo,-11.7
Kent State,-11.8
UL-Monroe,-12
East Carolina,-12.1
Nevada,-12.3
Coastal Carolina,-13.5
Northern Illinois,-13.8
Rutgers,-14
Texas State,-14.7
New Mexico,-18.5
UNLV,-19.5
New Mexico State,-20.7
Rice,-20.9
South Alabama,-22.8
Old Dominion,-23.5
UTSA,-24
Connecticut,-24.2
UTEP,-26.1
Bowling Green,-27.5
Akron,-28.8
Massachusetts,-33.6
