Team,FPI
Alabama,31
Clemson,29.2
Georgia,24.8
LSU,23.8
Ohio State,23.7
Oklahoma,22
Notre Dame,22
Oregon,19.5
Auburn,19
Wisconsin,18.8
Florida,17.8
Penn State,17.6
Texas A&M,17.2
UCF,15.1
Michigan,14.6
Mich. St.,14
Washington,13.3
Miami,12.2
Texas,12.2
Missouri,12.1
Iowa,11.8
Utah,11.8
USC,11.3
Miss St,11.3
Oklahoma State,11.2
S Carolina,10.7
Washington St,10.5
Baylor,10
Kansas State,9.3
Virginia,9.2
Kentucky,8.7
Maryland,8.6
Boise State,7.3
Nebraska,6.8
TCU,6.7
Iowa State,6.6
Florida State,6.2
Tennessee,5.6
Arizona State,5.4
Minnesota,5.1
BYU,5
Memphis,4.8
North Carolina,4.6
Stanford,4
Pittsburgh,3.5
Texas Tech,3.3
Duke,3.2
Arizona,3.2
Cal,2.9
Cincinnati,2.8
Utah State,2.7
Wake Forest,2.7
Air Force,2.6
Ole Miss,2.6
W Michigan,2.4
Louisville,2.3
SMU,2.2
Tulane,2.2
NC State,2.1
Indiana,1.4
UCLA,1.3
Colorado,1.2
Northwestern,1.1
Fresno State,0
West Virginia,-0.2
Toledo,-0.3
Virginia Tech,-0.3
Louisiana,-0.7
Vanderbilt,-0.8
Army,-0.9
Temple,-0.9
Appalachian St,-1
Marshall,-1.1
San Diego State,-1.1
Purdue,-1.5
Houston,-1.8
Arkansas,-2.2
Syracuse,-2.5
Oregon St,-2.8
Southern Miss,-3.2
Navy,-4.3
Boston College,-4.5
Illinois,-4.8
Ohio,-4.9
Hawai'i,-5.2
Wyoming,-5.2
FAU,-5.4
Tulsa,-5.4
Arkansas State,-5.5
North Texas,-6.2
E Michigan,-6.3
UL Monroe,-6.7
USF,-6.8
Ga Southern,-7.2
Troy,-7.6
Georgia Tech,-8.2
Rutgers,-8.3
LA Tech,-8.5
Kansas,-9
N Illinois,-9
Florida Intl,-9.5
Mid Tennessee,-9.7
C. Carolina,-10.1
W Kentucky,-10.2
Miami (OH),-10.7
Colorado State,-10.7
Ball State,-11.1
Charlotte,-11.9
Georgia State,-12.6
UNLV,-13
UAB,-13.3
Kent State,-13.5
East Carolina,-14.3
Nevada,-14.3
Liberty,-14.5
New Mexico,-14.7
Texas State,-14.8
Buffalo,-15.5
San Jose State,-15.8
Cent Michigan,-16.6
UTSA,-18
Rice,-18.6
South Alabama,-19.9
New Mexico St,-21.3
Bowling Green,-21.8
Old Dominion,-22.3
UConn,-23.5
Akron,-24.1
UTEP,-24.9
UMass,-30.7
