Team,MASSEY
Clemson,91.69
Alabama,85.48
Georgia,77.78
Ohio St,75.10
LSU,74.96
Oklahoma,74.51
Notre Dame,71.28
UCF,71.07
Texas A&M,70.01
Auburn,69.74
Texas,69.59
Florida,68.78
Washington,68.03
Penn St,67.94
Michigan,67.29
Iowa,66.97
Mississippi St,65.55
Wisconsin,65.29
Washington St,65.11
Missouri,64.80
Utah,64.27
Oklahoma St,63.96
TCU,63.94
Kentucky,63.00
West Virginia,62.64
Kansas St,62.59
Oregon,62.18
Stanford,62.07
Syracuse,61.77
Duke,61.73
Fresno St,61.44
Northwestern,61.17
Boise St,61.12
USC,61.11
Michigan St,60.95
Virginia,60.79
Iowa St,60.69
Utah St,60.18
Maryland,59.52
Minnesota,59.39
Pittsburgh,59.32
Appalachian St,58.97
Wake Forest,58.84
NC State,58.74
Memphis,58.71
California,57.95
Arizona St,57.94
Baylor,57.81
Purdue,57.32
South Carolina,57.26
Nebraska,57.03
Army,56.99
Texas Tech,56.93
Miami FL,56.86
Cincinnati,56.53
BYU,54.21
Mississippi,54.18
Temple,54.06
Arizona,53.60
Boston College,53.27
Tulane,53.25
Vanderbilt,53.00
Air Force,52.75
Florida St,52.39
SMU,52.25
Indiana,52.20
Houston,51.74
North Carolina,51.64
Colorado,51.55
Georgia Tech,51.18
Ohio,50.85
Kansas,50.71
Navy,50.51
Virginia Tech,50.47
Arkansas St,50.26
San Diego St,49.97
Troy,49.88
UCLA,49.74
Marshall,49.71
Wyoming,49.50
Tennessee,49.38
Ga Southern,49.32
Nevada,47.98
Louisiana,47.21
Southern Miss,46.99
Louisville,46.82
FL Atlantic,46.33
E Michigan,46.15
Toledo,46.02
Arkansas,45.84
UAB,45.55
ULM,45.55
North Texas,45.29
MTSU,45.22
Louisiana Tech,44.99
Illinois,44.96
Oregon St,44.32
Miami OH,44.25
Tulsa,43.75
South Florida,43.43
N Illinois,43.11
Hawaii,42.90
Rutgers,42.81
Buffalo,42.80
W Michigan,42.35
Florida Intl,41.05
Coastal Car,40.80
UNLV,39.26
New Mexico,38.25
Charlotte,38.24
Colorado St,37.96
Georgia St,37.17
Liberty,36.36
East Carolina,36.17
WKU,35.73
South Alabama,35.60
UT San Antonio,34.93
C Michigan,34.43
Ball St,34.07
San Jose St,34.05
Texas St,33.45
Kent,31.60
New Mexico St,31.38
Old Dominion,30.85
Rice,30.73
Bowling Green,30.64
Akron,28.70
Connecticut,26.27
Massachusetts,26.27
UTEP,22.82
