Team,SP_PLUS
Alabama,36.8
Georgia,32.3
Clemson,31.8
LSU,28.5
Ohio State,27.4
Oklahoma,25.8
Wisconsin,24.9
Florida,24.5
Auburn,24.3
Notre Dame,22.4
Texas A&M,20.3
Missouri,20.2
Mississippi State,19.9
Penn State,19.1
Washington,18.5
Michigan,18.4
Oregon,16.7
Central Florida,16.4
Utah,16.2
Oklahoma State,14.1
Miami-FL,13.9
Memphis,13.4
Michigan State,13.1
Iowa,12.6
TCU,12.4
Washington State,12.3
South Carolina,12.3
Texas,12
Baylor,11.5
Boise State,10.9
Virginia,10.8
USC,10
Appalachian State,10
Utah State,8.9
Iowa State,8.6
Tennessee,8.4
Kentucky,8.4
Ole Miss,8
Nebraska,7.5
Virginia Tech,7.2
Minnesota,7.2
Florida State,7.2
NC State,6.3
Texas Tech,6.2
Arizona State,6
BYU,5.7
Temple,5.5
Indiana,5.2
Kansas State,5
Cincinnati,4.9
Wake Forest,4.9
Fresno State,4.3
Arizona,4.2
Maryland,4.1
Duke,3.6
West Virginia,3.3
Stanford,3.2
Purdue,2.8
Pittsburgh,2.5
California,2.4
Arkansas,2.4
San Diego State,2.3
Air Force,2.2
North Carolina,1.3
Colorado,1
Syracuse,0.8
Louisville,0.5
Marshall,0.3
Northwestern,0
Vanderbilt,0
SMU,-0.3
Boston College,-0.6
Arkansas State,-0.8
Tulane,-0.8
Houston,-0.9
Southern Miss,-1.2
Western Michigan,-2.1
UCLA,-2.2
North Texas,-2.4
Toledo,-2.5
Wyoming,-2.5
Army,-2.8
Illinois,-2.8
Troy,-3.4
Ohio,-3.4
South Florida,-3.5
UL-Lafayette,-3.5
Florida Atlantic,-3.8
Georgia Tech,-3.9
Northern Illinois,-5
Louisiana Tech,-5.4
Georgia Southern,-5.9
Eastern Michigan,-6.1
Tulsa,-6.2
Hawaii,-6.9
Oregon State,-7.4
Navy,-7.6
Miami-OH,-7.7
Nevada,-8.1
Florida International,-9.9
Kansas,-10
UL-Monroe,-10.1
Middle Tennessee,-10.9
UNLV,-11.2
Colorado State,-11.4
Western Kentucky,-12.3
UAB,-12.5
Charlotte,-12.6
Ball State,-12.7
Texas State,-12.8
Buffalo,-12.9
Rutgers,-13.1
Liberty,-13.5
Coastal Carolina,-15.3
San Jose State,-15.8
East Carolina,-16.2
Kent State,-17
Georgia State,-17.4
Central Michigan,-19.8
New Mexico,-20.5
Old Dominion,-21.2
South Alabama,-21.4
New Mexico State,-22.6
Connecticut,-24.5
UTSA,-24.9
Akron,-25.1
Bowling Green,-25.4
Rice,-25.6
Massachusetts,-27.8
UTEP,-31.3
