Team,MASSEY
Ohio St,87.81
LSU,82.09
Clemson,84.17
Alabama,84.41
Georgia,77.9
Utah,75.71
Oregon,74.11
Penn St,73.95
Florida,74.12
Oklahoma,73.25
Michigan,73.03
Auburn,73.42
Notre Dame,70.1
Wisconsin,70.72
Baylor,66.55
Minnesota,66.36
Iowa,68.23
Cincinnati,62.66
Texas A&M,65.89
Memphis,64.49
Iowa St,67.52
Oklahoma St,65.63
USC,64.89
Washington,69.12
Texas,65.08
Appalachian St,63.77
SMU,60.24
Boise St,61.19
Navy,61.58
UCF,65.99
Air Force,61.22
Kansas St,62.24
Indiana,60.95
TCU,62.04
Louisiana,58.91
Pittsburgh,56.43
Virginia,58.31
Miami FL,59.73
Virginia Tech,57.07
Mississippi St,59.39
Washington St,61.93
Tennessee,57.54
Wake Forest,56.01
Louisville,53.91
California,55.74
BYU,55.17
Temple,53.44
Oregon St,55.23
Arizona St,57.48
Michigan St,57.59
Florida St,55.67
South Carolina,56.04
Texas Tech,58.73
UCLA,55.12
Illinois,53.87
Tulane,55.6
West Virginia,54.28
Utah St,52.93
North Carolina,56.5
Kentucky,55.63
Stanford,54.08
Missouri,56.17
FL Atlantic,54.01
San Diego St,52.24
Boston College,54.93
Ga Southern,50.51
Mississippi,55.29
Marshall,49.38
Purdue,52.23
Tulsa,51.48
Southern Miss,49.95
Nebraska,52
Wyoming,52.6
Colorado,50.34
Miami OH,47.97
Hawaii,48.37
Arkansas St,48.79
Arizona,49.65
Duke,51.79
Syracuse,51.22
W Michigan,48.45
Louisiana Tech,46.49
Kansas,48.71
Maryland,50
Georgia St,46.18
Fresno St,50.83
C Michigan,45.33
Houston,49.56
Nevada,42.72
South Florida,47.36
WKU,46.5
Buffalo,47.98
NC State,45.81
Troy,48.08
ULM,44.64
Ohio,46.16
Northwestern,47.7
Army,48.49
San Jose St,43.82
Georgia Tech,43.73
Toledo,40.26
Ball St,44.11
UAB,41.08
E Michigan,40.62
Coastal Car,42.63
Colorado St,41.71
N Illinois,41.22
Liberty,39.88
Kent,39.78
Vanderbilt,38.87
Arkansas,41.1
East Carolina,40.7
North Texas,38.39
Charlotte,34.89
Florida Intl,36.27
MTSU,38.83
Rutgers,34.37
Texas St,32.86
UNLV,34.86
Rice,33.43
UT San Antonio,28.61
New Mexico,31.39
South Alabama,32.98
Bowling Green,28.54
New Mexico St,28.63
Connecticut,26.8
Old Dominion,28.5
UTEP,18.38
Massachusetts,9.57
Akron,12.16
