Team,SP_PLUS
Ohio State,37.2
Alabama,33
LSU,30
Clemson,29
Georgia,28.5
Oklahoma,26.1
Penn State,25
Utah,23.8
Florida,23.2
Michigan,22.4
Auburn,22.2
Washington,21.1
Wisconsin,20.8
Memphis,19.6
Oregon,19.5
Minnesota,19.2
Texas A&M,18.5
Central Florida,18.1
Notre Dame,17.5
Indiana,17.5
Baylor,17.3
Iowa State,16.3
Iowa,16.1
USC,14.4
Miami-FL,13.4
Washington State,13.2
Oklahoma State,12.4
Texas,10.8
Cincinnati,10.6
Missouri,10.4
TCU,9.9
Air Force,9.7
Boise State,9.2
Navy,8.9
Appalachian State,8.5
Tulane,8.5
UL-Lafayette,8.2
Tennessee,7.4
Virginia,7.3
Michigan State,7.1
South Carolina,6.9
Arizona State,6.7
Kansas State,6.4
Virginia Tech,6.3
SMU,6
Temple,5.8
Texas Tech,4.8
Florida State,4.5
Kentucky,4.2
North Carolina,3.8
Illinois,3.3
Pittsburgh,3.3
Ole Miss,3.2
Mississippi State,3
Nebraska,2.7
Florida Atlantic,2.7
Wake Forest,2.1
Louisville,0.8
San Diego State,0.4
BYU,0.4
Purdue,0.4
Army,0.1
UCLA,-0.7
Boston College,-0.9
Syracuse,-1.3
Oregon State,-1.3
Ohio,-1.5
Utah State,-2
Houston,-2
Duke,-2.1
Fresno State,-2.1
Troy,-2.1
Marshall,-2.2
NC State,-2.2
Wyoming,-2.4
Stanford,-2.5
Southern Miss,-2.5
Arkansas State,-2.6
Louisiana Tech,-3
Maryland,-3.2
Western Kentucky,-3.2
California,-3.7
Arizona,-3.9
Northwestern,-4
Colorado,-4.2
Hawaii,-4.3
UAB,-4.3
Western Michigan,-4.5
Liberty,-4.8
North Texas,-5.3
South Florida,-5.8
Tulsa,-5.9
Georgia Southern,-6.2
West Virginia,-6.2
Colorado State,-7
Ball State,-7
Central Michigan,-7.3
Buffalo,-8.1
Florida International,-8.8
Arkansas,-9.2
Miami-OH,-9.4
Kansas,-9.9
Georgia Tech,-10.2
Charlotte,-10.6
San Jose State,-11.1
Georgia State,-11.2
East Carolina,-11.6
Vanderbilt,-11.8
Toledo,-11.9
Rutgers,-12.2
Eastern Michigan,-12.3
Northern Illinois,-12.7
Middle Tennessee,-12.9
Nevada,-13.4
Kent State,-13.4
UL-Monroe,-13.5
Coastal Carolina,-13.8
Texas State,-14.5
New Mexico,-19.2
UNLV,-19.8
New Mexico State,-20.9
South Alabama,-22.8
Rice,-23.1
Old Dominion,-23.2
UTSA,-24.8
Connecticut,-25
Bowling Green,-26.6
UTEP,-27.3
Akron,-30.2
Massachusetts,-34
