Team,FPI
Alabama,29.9
Clemson,29.1
LSU,25.5
Georgia,21.8
Penn State,19.7
Oregon,19.5
Notre Dame,19.2
Ohio State,19
Oklahoma,19
Wisconsin,17.7
Auburn,17
Florida,16.9
Texas A&M,16.1
Mich. St.,15
Michigan,14.9
UCF,13.7
Utah,13.6
Miss St,13.1
Iowa,12.5
USC,12.4
Washington St,12.3
S Carolina,12
Washington,11.9
Texas,11.7
Maryland,11.6
Missouri,10.7
Baylor,10
Oklahoma State,9.8
Miami,9.8
Kentucky,8.3
Virginia,7.9
Kansas State,7.4
Minnesota,7.2
Boise State,6.8
NC State,6.1
Iowa State,6.1
Indiana,6
Florida State,5.9
North Carolina,5.6
Texas Tech,5.4
Stanford,4.8
Ole Miss,4.7
Tennessee,4.6
Nebraska,4.4
Cal,4.2
BYU,4.1
UCLA,4.1
Virginia Tech,3.2
Colorado,2.8
Utah State,2.7
TCU,2.5
Memphis,2.1
Arizona State,1.9
Wake Forest,1.9
Boston College,1.7
Purdue,1.6
Cincinnati,1.6
Northwestern,1.3
Air Force,1.3
Arizona,1.2
Louisville,1.1
SMU,1
Pittsburgh,0.8
Fresno State,0.5
Duke,0
Tulane,-0.2
Vanderbilt,-0.7
Marshall,-0.8
Appalachian St,-1.3
Syracuse,-1.4
Wyoming,-1.4
San Diego State,-1.5
Army,-1.5
Arkansas State,-2.1
Temple,-2.2
Illinois,-2.6
W Michigan,-2.8
Toledo,-3.1
Arkansas,-3.5
Houston,-3.6
Southern Miss,-3.9
West Virginia,-4.2
Tulsa,-4.3
Hawai'i,-4.4
Louisiana,-4.8
Oregon St,-4.9
Georgia Tech,-5.6
N Illinois,-5.7
Ohio,-6.4
UL Monroe,-6.8
Troy,-7.2
Mid Tennessee,-7.2
Rutgers,-7.7
Georgia State,-7.7
FAU,-7.7
Ga Southern,-8.1
North Texas,-8.2
Navy,-8.2
E Michigan,-8.8
USF,-8.8
Colorado State,-8.9
Ball State,-8.9
W Kentucky,-9.1
Florida Intl,-9.4
Miami (OH),-9.5
East Carolina,-10.5
LA Tech,-11.6
UNLV,-12.3
New Mexico,-12.3
Texas State,-12.9
Buffalo,-13
UAB,-13
C. Carolina,-13.1
Kent State,-14
Nevada,-14.3
Charlotte,-14.5
San Jose State,-15
Kansas,-15.6
UTSA,-17.3
Liberty,-17.4
South Alabama,-18
Cent Michigan,-18.5
Rice,-18.9
Bowling Green,-19.4
New Mexico St,-20.1
Old Dominion,-21.4
Akron,-21.9
UConn,-23.2
UTEP,-24.9
UMass,-27.9
