Team,MASSEY
Clemson,91.69
Alabama,84.7
Georgia,77.18
Ohio St,75.03
LSU,74.72
Notre Dame,72.09
Oklahoma,71.72
Texas A&M,71.04
Penn St,70.28
Auburn,70.26
Iowa,69.93
UCF,69.36
Michigan,68.78
Florida,68.6
Washington,68.34
Mississippi St,68.06
Texas,67.6
Wisconsin,67.12
Washington St,65.73
Missouri,64.92
Kentucky,64.72
Utah,64.53
Northwestern,63.7
Syracuse,63.61
Michigan St,63.56
Stanford,63.44
Minnesota,62.7
Virginia,62.59
Fresno St,62.49
NC State,62.47
Maryland,62.13
USC,62
Duke,61.98
Oregon,61.82
Boise St,61.77
Oklahoma St,61.48
Purdue,61.26
Pittsburgh,61.16
Utah St,60.74
West Virginia,60.14
Appalachian St,60.06
Wake Forest,59.98
Boston College,59.75
Iowa St,59.16
TCU,59.14
Miami FL,58.8
South Carolina,58.6
Nebraska,58.43
California,58.34
Kansas St,57.98
Army,57.62
Memphis,57.54
Texas Tech,57.49
Arizona St,56.87
Georgia Tech,56.61
Cincinnati,56.25
Indiana,55.93
Baylor,55.93
Mississippi,55.9
Temple,54.28
Vanderbilt,54.24
BYU,54.15
Virginia Tech,53.8
Florida St,53.73
Colorado,53.45
Troy,53.33
North Carolina,53.3
Ohio,53.29
Tulane,52.7
Air Force,52.05
Arizona,51.97
Wyoming,51.95
Houston,51.65
Arkansas St,51.2
UCLA,50.88
Tennessee,50.37
SMU,50.36
Marshall,50.06
San Diego St,49.91
Ga Southern,49.85
Nevada,49.1
Buffalo,49.03
Navy,49.01
Illinois,48.37
Miami OH,48.24
Louisiana,48.05
MTSU,47.56
Louisville,47.31
E Michigan,47.2
Toledo,47.17
UAB,46.85
N Illinois,46.36
FL Atlantic,46.35
ULM,46.16
Arkansas,45.79
Rutgers,45.76
Kansas,45.2
Southern Miss,44.69
South Florida,44.69
Tulsa,44.34
North Texas,43.66
Louisiana Tech,43.47
Hawaii,43.14
Oregon St,42.95
Florida Intl,42.15
W Michigan,41.95
Colorado St,41.23
Coastal Car,40.71
Georgia St,40.09
UNLV,39.98
East Carolina,39.17
New Mexico,39.07
WKU,37.58
South Alabama,37.51
Charlotte,37.48
Texas St,36.34
San Jose St,36.24
Ball St,35.99
Bowling Green,35.13
C Michigan,34.6
UT San Antonio,34.42
Liberty,34.23
Kent,34.17
Akron,34.1
New Mexico St,33.24
Old Dominion,32.13
Rice,30.52
Massachusetts,30.39
Connecticut,28.35
UTEP,22.72
