Team,SP_PLUS
Alabama,36.1
Clemson,30.9
Georgia,30.3
LSU,28.1
Ohio State,27.5
Wisconsin,24.7
Oklahoma,24.2
Florida,23.5
Auburn,21.9
Penn State,20.9
Texas A&M,19.1
Notre Dame,18.7
Mississippi State,18.7
Oregon,17.1
Michigan,16.8
Missouri,16.6
Central Florida,16.3
Michigan State,16
Utah,15.9
Iowa,15.6
Washington,15.2
Washington State,14.1
USC,13.3
Texas,12.6
Baylor,12.4
Memphis,12.2
Oklahoma State,12.2
South Carolina,11.9
Miami-FL,11.5
TCU,11
NC State,11
Virginia,11
Boise State,10.7
Kentucky,9.5
Ole Miss,9.4
Appalachian State,9.4
Iowa State,8.7
Maryland,8.5
Texas Tech,8.5
Indiana,7.5
Kansas State,7.3
Minnesota,7.1
Arizona State,6.8
Temple,6.6
Virginia Tech,6.4
Florida State,4.7
Tennessee,4.4
Boston College,4.4
BYU,4.1
Wake Forest,3.9
Fresno State,3.9
Nebraska,3.8
Colorado,3.8
Utah State,3.7
California,3.7
North Carolina,3.7
Purdue,3.4
San Diego State,3.3
Arkansas State,2.7
Air Force,2.6
Stanford,2.6
Cincinnati,2.1
Arizona,1.8
Duke,1.5
SMU,1.2
Marshall,0.9
Arkansas,0.4
Ohio,0.3
Houston,0.2
Syracuse,0.1
Wyoming,0.1
Vanderbilt,0
Illinois,-0.6
Tulane,-0.8
Louisville,-0.9
Troy,-0.9
Southern Miss,-1.1
West Virginia,-1.8
Army,-2.4
Northern Illinois,-2.8
UCLA,-2.8
Pittsburgh,-3.1
Hawaii,-3.2
Northwestern,-3.4
UL-Lafayette,-4.1
Tulsa,-4.4
Toledo,-4.9
Miami-OH,-5.1
Georgia Tech,-5.5
Florida Atlantic,-5.7
North Texas,-5.8
Western Michigan,-6.6
Georgia Southern,-7.5
Eastern Michigan,-7.7
Middle Tennessee,-7.7
Oregon State,-7.9
South Florida,-8.3
UL-Monroe,-9.3
Buffalo,-9.5
Louisiana Tech,-9.7
Ball State,-9.8
Navy,-9.9
Colorado State,-10.4
Western Kentucky,-10.5
UNLV,-10.7
Nevada,-11
Rutgers,-11.2
Texas State,-11.7
UAB,-11.7
Georgia State,-12.7
Charlotte,-12.9
Florida International,-12.9
East Carolina,-13.8
Kansas,-14.2
San Jose State,-15.5
Coastal Carolina,-15.5
Kent State,-15.7
South Alabama,-18
New Mexico,-18
Liberty,-18.4
Old Dominion,-19.4
Connecticut,-21.8
Rice,-22.3
Central Michigan,-22.7
New Mexico State,-23.2
UTSA,-24.1
Bowling Green,-24.7
Akron,-24.9
Massachusetts,-28
UTEP,-29.6
