COLLEGE_FOOTBALL_DATA,SP_PLUS
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Appalachian State,Appalachian State
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Arkansas State,Arkansas State
Army,Army
Auburn,Auburn
Ball State,Ball State
Baylor,Baylor
Boise State,Boise State
Boston College,Boston College
Bowling Green,Bowling Green
Buffalo,Buffalo
BYU,BYU
California,California
Central Michigan,Central Michigan
Charlotte,Charlotte
Cincinnati,Cincinnati
Clemson,Clemson
Coastal Carolina,Coastal Carolina
Colorado,Colorado
Colorado State,Colorado State
Connecticut,Connecticut
Duke,Duke
East Carolina,East Carolina
Eastern Michigan,Eastern Michigan
Florida,Florida
Florida Atlantic,Florida Atlantic
Florida International,Florida International
Florida State,Florida State
Fresno State,Fresno State
Georgia,Georgia
Georgia Southern,Georgia Southern
Georgia State,Georgia State
Georgia Tech,Georgia Tech
Hawai'i,Hawaii
Houston,Houston
Illinois,Illinois
Indiana,Indiana
Iowa,Iowa
Iowa State,Iowa State
Kansas,Kansas
Kansas State,Kansas State
Kent State,Kent State
Kentucky,Kentucky
Louisiana,UL-Lafayette
Louisiana Monroe,UL-Monroe
Louisiana Tech,Louisiana Tech
Louisville,Louisville
LSU,LSU
Marshall,Marshall
Maryland,Maryland
Memphis,Memphis
Miami,Miami-FL
Miami (OH),Miami-OH
Michigan,Michigan
Michigan State,Michigan State
Middle Tennessee,Middle Tennessee
Minnesota,Minnesota
Mississippi State,Mississippi State
Missouri,Missouri
Navy,Navy
NC State,NC State
Nebraska,Nebraska
Nevada,Nevada
New Mexico,New Mexico
North Carolina,North Carolina
Northern Illinois,Northern Illinois
North Texas,North Texas
Northwestern,Northwestern
Notre Dame,Notre Dame
Ohio,Ohio
Ohio State,Ohio St.
Oklahoma,Oklahoma
Oklahoma State,Oklahoma State
Old Dominion,Old Dominion
Ole Miss,Ole Miss
Oregon,Oregon
Oregon State,Oregon State
Penn State,Penn State
Pittsburgh,Pittsburgh
Purdue,Purdue
Rice,Rice
Rutgers,Rutgers
San Diego State,San Diego State
San JosÈ State,San Jose State
SMU,SMU
South Alabama,South Alabama
South Carolina,South Carolina
Southern Mississippi,Southern Miss
South Florida,South Florida
Stanford,Stanford
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Texas,Texas
Texas A&M,Texas A&M
Texas State,Texas State
Texas Tech,Texas Tech
Toledo,Toledo
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UCF,Central Florida
UCLA,UCLA
UMass,Massachusetts
UNLV,UNLV
USC,USC
Utah,Utah
Utah State,Utah State
UTEP,UTEP
UT San Antonio,UTSA
Vanderbilt,Vanderbilt
Virginia,Virginia
Virginia Tech,Virginia Tech
Wake Forest,Wake Forest
Washington,Washington
Washington State,Washington State
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
West Virginia,West Virginia
Wisconsin,Wisconsin
Wyoming,Wyoming
New Mexico State,New Mexico State
Liberty,Liberty
