Team,MASSEY,Record,Rat,Ranking,Off,Def,HFA,SoS,SSF,EW,EL
Clemson,95.38, Atlantic Coast (team.php?t=10423&s=308075,1 2.78,1,2 74.61,1 48.03,1.53,1 0.00,26 62.85,11.68,0.32
Alabama,87.66, Southeastern (team.php?t=14028&s=308075,2 2.55,2,3 72.42,2 42.40,3.26,1 0.00,11 64.18,10.77,1.23
Georgia,81.01, Southeastern (team.php?t=14028&s=308075,3 2.36,3,6 67.93,7 40.19,3.42,1 0.00,5 65.91,9.71,2.29
LSU,76.88, Southeastern (team.php?t=14028&s=308075,4 2.24,4,11 65.68,9 38.40,3.28,1 0.00,3 66.97,8.52,3.48
Oklahoma,76.33, Big 12 (team.php?t=10686&s=308075,5 2.22,5,1 75.75,67 27.76,2.99,1 0.00,36 62.03,9.59,2.41
Ohio St,76.15, Big 10 (team.php?t=10678&s=308075,6 2.22,6,4 71.05,39 32.30,2.89,1 0.00,23 63.08,9.47,2.53
Notre Dame,75.85, FBS Indep (team.php?t=9224&s=308075,7 2.21,7,24 62.34,6 40.77,1.83,1 0.00,33 62.45,9.41,2.59
Florida,74.78, Southeastern (team.php?t=14028&s=308075,8 2.18,8,12 65.24,13 36.70,2.4,1 0.00,6 65.17,8.31,3.69
Texas A&M,74.21, Southeastern (team.php?t=14028&s=308075,9 2.16,9,5 68.00,29 33.48,3.18,1 0.00,2 67.42,7.59,4.41
Auburn,73.78, Southeastern (team.php?t=14028&s=308075,10 2.15,10,21 62.75,10 38.22,3.09,1 0.00,4 66.71,7.82,4.18
Mississippi St,72.44, Southeastern (team.php?t=14028&s=308075,11 2.11,11,47 58.65,4 41.15,3.35,1 0.00,9 64.23,8.28,3.72
Michigan,72.4, Big 10 (team.php?t=10678&s=308075,12 2.11,12,18 63.11,15 36.51,3.18,1 0.00,7 64.94,8.28,3.72
Iowa,72.35, Big 10 (team.php?t=10678&s=308075,13 2.11,13,25 61.77,11 37.80,2.3,1 0.00,14 63.61,8.52,3.48
Penn St,71.95, Big 10 (team.php?t=10678&s=308075,14 2.10,14,16 63.61,19 35.47,2.83,1 0.00,16 63.51,8.33,3.67
Syracuse,71.59, Atlantic Coast (team.php?t=10423&s=308075,15 2.09,15,9 65.81,34 33.00,1.72,1 0.00,42 61.39,8.54,3.46
Texas,71.47, Big 12 (team.php?t=10686&s=308075,16 2.08,16,26 61.75,14 36.68,3.04,1 0.00,21 63.29,8.29,3.71
Washington,71.16, Pac 12 (team.php?t=107818&s=308075,17 2.07,17,57 57.67,5 40.82,3.02,1 0.00,56 59.26,9.44,2.56
Missouri,70.77, Southeastern (team.php?t=14028&s=308075,18 2.06,18,13 64.98,32 33.07,3.06,1 0.00,24 63.07,8.18,3.82
Kentucky,69.7, Southeastern (team.php?t=14028&s=308075,19 2.03,19,51 58.08,8 38.93,2.74,1 0.00,37 62.02,8.07,3.93
UCF,69.61, American Athletic (team.php?t=200137&s=308075,20 2.03,20,7 66.42,48 30.27,3.35,1 0.00,74 53.08,9.81,2.19
Wisconsin,69.12, Big 10 (team.php?t=10678&s=308075,21 2.01,21,32 60.97,20 35.29,2.05,1 0.00,35 62.19,7.88,4.12
West Virginia,68.71, Big 12 (team.php?t=10686&s=308075,22 2.00,22,10 65.69,51 29.99,3.46,1 0.00,8 64.94,7.26,4.74
Washington St,68.04, Pac 12 (team.php?t=107818&s=308075,23 1.98,23,14 64.13,46 31.24,3.03,1 0.00,61 57.86,8.56,3.44
Northwestern,67.89, Big 10 (team.php?t=10678&s=308075,24 1.98,24,43 59.08,18 35.96,1.6,1 0.00,22 63.08,7.36,4.64
Fresno St,67.86, Mountain West (team.php?t=12734&s=308075,25 1.98,25,58 57.47,12 37.68,2.04,1 0.00,86 51.46,10.05,1.95
